events_per_case,case_count
1,2835
2,20070
3,11191
4,10403
5,94302
6,71832
7,19516
8,5854
9,3690
10,3034
11,1594
12,1685
13,932
14,581
15,365
16,268
17,182
18,172
19,138
20,148
21,139
22,111
23,91
24,89
25,63
26,88
27,64
28,86
29,61
30,66
31,73
32,63
33,52
34,54
35,49
36,53
37,91
38,70
39,41
40,47
41,34
42,35
43,41
44,32
45,33
46,27
47,22
48,32
49,27
50,16
51,19
52,28
53,22
54,13
55,15
56,17
57,19
58,11
59,7
60,9
61,10
62,18
63,13
64,10
65,7
66,5
67,7
68,9
69,4
70,1
71,6
72,7
73,4
74,7
75,6
76,8
77,9
78,1
79,4
80,5
81,5
82,3
83,1
84,2
85,5
86,2
87,4
88,4
89,4
90,1
91,8
92,4
93,1
94,5
95,3
96,5
97,2
98,3
99,4
100,3
101,3
102,6
103,5
104,6
105,2
106,6
107,5
108,5
109,4
110,2
111,4
112,2
113,2
114,6
115,5
116,5
117,4
118,3
119,7
120,6
121,5
122,3
123,1
124,6
125,3
126,1
127,8
128,6
129,5
130,5
131,3
132,2
133,3
134,3
135,1
136,2
137,4
138,6
139,1
140,6
141,5
142,8
143,3
144,3
145,6
146,8
147,9
148,5
149,1
150,7
151,6
152,7
153,7
154,3
155,7
156,7
157,1
158,10
159,4
160,6
161,5
162,6
163,5
164,9
165,5
166,7
167,7
168,4
169,1
170,9
171,6
172,9
173,3
174,3
175,5
176,6
177,8
178,7
179,5
180,5
181,6
182,4
183,5
184,3
185,5
186,7
187,3
188,8
189,5
190,7
191,5
192,9
193,5
194,7
195,6
196,5
197,7
198,2
199,1
200,4
202,3
203,4
204,3
206,1
207,5
208,4
209,7
210,5
211,5
212,1
213,7
214,1
215,2
216,2
217,6
218,1
219,6
220,3
221,7
222,5
223,2
224,4
225,3
226,5
227,2
229,1
230,2
231,3
232,1
234,1
235,3
236,1
237,3
238,4
239,2
240,4
241,2
242,2
243,4
244,2
245,3
246,5
247,4
248,2
249,2
250,6
251,2
252,1
253,3
254,3
255,1
258,2
259,2
260,1
261,3
262,1
264,3
265,2
266,2
268,4
269,1
271,2
272,1
273,3
274,1
275,5
276,1
278,3
280,1
281,1
282,2
283,3
284,1
285,1
286,2
287,3
290,2
291,7
292,3
293,2
294,3
296,2
297,2
298,2
299,6
302,2
303,1
305,2
306,1
307,1
310,1
311,3
312,1
314,1
315,1
316,4
317,1
318,1
319,3
320,1
321,3
324,2
325,2
326,1
327,2
328,2
330,1
331,1
333,1
337,2
338,1
341,1
343,1
344,1
345,1
346,1
348,1
350,1
352,1
355,1
356,1
366,1
367,2
370,2
371,1
376,1
378,2
379,1
380,1
381,2
383,1
384,1
387,1
391,1
397,1
399,1
405,1
416,1
418,1
452,1
458,1
461,1
464,1
500,1
509,1
513,1
561,1
745,1
833,1
868,1
923,1
990,1
