activity_from,activity_to,count
Record Service Entry Sheet,Record Service Entry Sheet,139107
Record Invoice Receipt,Clear Invoice,134955
Record Goods Receipt,Record Invoice Receipt,112182
Vendor creates invoice,Record Goods Receipt,110215
Create Purchase Order Item,Vendor creates invoice,103150
Vendor creates invoice,Record Invoice Receipt,95218
Record Goods Receipt,Vendor creates invoice,80616
Create Purchase Order Item,Record Goods Receipt,77206
Record Goods Receipt,Record Goods Receipt,54277
Remove Payment Block,Clear Invoice,49424
Create Purchase Requisition Item,Create Purchase Order Item,46125
Record Invoice Receipt,Remove Payment Block,37621
Create Purchase Order Item,Receive Order Confirmation,30837
Record Goods Receipt,Record Service Entry Sheet,23151
Receive Order Confirmation,Record Goods Receipt,20398
Record Service Entry Sheet,Record Goods Receipt,19183
Record Invoice Receipt,Record Goods Receipt,15580
Record Goods Receipt,Remove Payment Block,15370
Create Purchase Order Item,Change Quantity,11760
Change Quantity,Record Goods Receipt,9206
Receive Order Confirmation,Vendor creates invoice,9190
Create Purchase Order Item,Delete Purchase Order Item,6890
Record Invoice Receipt,Record Invoice Receipt,6783
Create Purchase Order Item,Change Price,6433
Change Quantity,Vendor creates invoice,5994
Record Invoice Receipt,Vendor creates invoice,4054
Clear Invoice,Record Invoice Receipt,3958
Change Price,Vendor creates invoice,3396
Vendor creates invoice,Create Purchase Order Item,3318
Clear Invoice,Clear Invoice,3213
Change Price,Record Goods Receipt,3102
Create Purchase Order Item,Change Approval for Purchase Order,3060
Cancel Invoice Receipt,Clear Invoice,3002
Record Service Entry Sheet,Vendor creates invoice,2823
Vendor creates invoice,Vendor creates debit memo,2715
Record Invoice Receipt,Cancel Invoice Receipt,2697
Vendor creates invoice,Change Quantity,2545
Change Quantity,Change Quantity,2290
Clear Invoice,Cancel Invoice Receipt,2111
Create Purchase Order Item,Record Service Entry Sheet,2072
Record Service Entry Sheet,Record Invoice Receipt,2029
Cancel Invoice Receipt,Record Invoice Receipt,1954
Vendor creates debit memo,Vendor creates invoice,1926
Record Invoice Receipt,Change Price,1874
Vendor creates invoice,Vendor creates invoice,1788
Change Price,Remove Payment Block,1721
Create Purchase Order Item,Record Invoice Receipt,1673
SRM: Complete,SRM: Awaiting Approval,1628
SRM: Awaiting Approval,SRM: Document Completed,1626
SRM: Created,SRM: Complete,1599
Change Approval for Purchase Order,Change Approval for Purchase Order,1588
Release Purchase Order,Change Approval for Purchase Order,1489
Record Goods Receipt,Change Quantity,1472
Vendor creates invoice,Clear Invoice,1443
Vendor creates debit memo,Record Invoice Receipt,1317
Clear Invoice,Vendor creates invoice,1299
Receive Order Confirmation,Delete Purchase Order Item,1229
Vendor creates debit memo,Record Goods Receipt,1144
SRM: Document Completed,SRM: In Transfer to Execution Syst.,1131
Change Quantity,Change Delivery Indicator,1130
SRM: In Transfer to Execution Syst.,SRM: Ordered,1118
Change Price,Change Quantity,1106
Record Goods Receipt,Cancel Goods Receipt,1063
Create Purchase Order Item,Vendor creates debit memo,1052
Vendor creates debit memo,Cancel Invoice Receipt,996
Create Purchase Order Item,Cancel Goods Receipt,925
Change Price,Record Invoice Receipt,908
Cancel Goods Receipt,Record Goods Receipt,896
Change Approval for Purchase Order,Vendor creates invoice,884
Vendor creates invoice,Change Price,855
SRM: Change was Transmitted,Create Purchase Order Item,821
SRM: Ordered,SRM: Change was Transmitted,775
Clear Invoice,Remove Payment Block,766
Record Goods Receipt,Change Price,761
Clear Invoice,Record Goods Receipt,759
Create Purchase Order Item,Release Purchase Order,746
Record Goods Receipt,Change Delivery Indicator,733
Change Approval for Purchase Order,Receive Order Confirmation,715
Change Delivery Indicator,Record Goods Receipt,706
Change Delivery Indicator,Record Invoice Receipt,705
Change Approval for Purchase Order,Record Invoice Receipt,676
Change Price,Change Price,671
Record Invoice Receipt,Change Quantity,662
Change Quantity,Record Invoice Receipt,659
Change Approval for Purchase Order,Release Purchase Order,637
Record Goods Receipt,Vendor creates debit memo,636
Cancel Invoice Receipt,Remove Payment Block,611
Record Goods Receipt,Clear Invoice,556
Record Invoice Receipt,Vendor creates debit memo,544
Cancel Goods Receipt,Vendor creates debit memo,513
Change Quantity,Change Price,510
Receive Order Confirmation,Change Quantity,472
Create Purchase Requisition Item,Release Purchase Requisition,467
