activity,case_id,lifecycle,resource,timestamp,case:Company,case:Document Type,case:GR-Based Inv. Verif.,case:Goods Receipt,case:Item,case:Item Category,case:Item Type,case:Name,case:Purch. Doc. Category name,case:Purchasing Document,case:Source,case:Spend area text,case:Spend classification text,case:Sub spend area text,case:Vendor,case:concept:name,event:Cumulative net worth (EUR),event:User
SRM: Created,2000000000_00001,,batch_00,2018-01-02T12:53:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000000,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000000_00001,298.0,batch_00
SRM: Complete,2000000000_00001,,batch_00,2018-01-02T13:53:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000000,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000000_00001,298.0,batch_00
SRM: Awaiting Approval,2000000000_00001,,batch_00,2018-01-02T13:53:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000000,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000000_00001,298.0,batch_00
SRM: Document Completed,2000000000_00001,,batch_00,2018-01-02T13:53:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000000,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000000_00001,298.0,batch_00
SRM: In Transfer to Execution Syst.,2000000000_00001,,batch_00,2018-01-02T13:53:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000000,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000000_00001,298.0,batch_00
SRM: Ordered,2000000000_00001,,batch_00,2018-01-02T13:53:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000000,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000000_00001,298.0,batch_00
SRM: Change was Transmitted,2000000000_00001,,batch_00,2018-01-02T13:53:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000000,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000000_00001,298.0,batch_00
Create Purchase Order Item,2000000000_00001,,user_000,2018-01-02T13:53:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000000,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000000_00001,298.0,user_000
Vendor creates invoice,2000000000_00001,,NONE,2018-01-02T22:59:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000000,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000000_00001,298.0,NONE
Record Goods Receipt,2000000000_00001,,user_000,2018-03-06T06:44:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000000,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000000_00001,298.0,user_000
Record Invoice Receipt,2000000000_00001,,user_001,2018-03-06T07:53:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000000,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000000_00001,298.0,user_001
Clear Invoice,2000000000_00001,,user_002,2018-03-29T13:06:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000000,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000000_00001,298.0,user_002
SRM: Created,2000000001_00001,,batch_00,2018-01-03T08:49:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0001,Purchase order,2000000001,sourceSystemID_0000,Marketing,NPR,Marketing Support Services,vendorID_0001,2000000001_00001,557.0,batch_00
SRM: Complete,2000000001_00001,,batch_00,2018-01-03T09:49:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0001,Purchase order,2000000001,sourceSystemID_0000,Marketing,NPR,Marketing Support Services,vendorID_0001,2000000001_00001,557.0,batch_00
SRM: Awaiting Approval,2000000001_00001,,batch_00,2018-01-03T09:49:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0001,Purchase order,2000000001,sourceSystemID_0000,Marketing,NPR,Marketing Support Services,vendorID_0001,2000000001_00001,557.0,batch_00
SRM: Document Completed,2000000001_00001,,batch_00,2018-01-03T09:49:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0001,Purchase order,2000000001,sourceSystemID_0000,Marketing,NPR,Marketing Support Services,vendorID_0001,2000000001_00001,557.0,batch_00
