rank,case_count,variant_length,variant
1,50286,5,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2,30798,5,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
3,12214,2,Create Purchase Order Item -> Record Goods Receipt
4,11383,6,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
5,9694,6,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
6,8921,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
7,8835,6,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
8,7985,6,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
9,5298,2,Create Purchase Order Item -> Delete Purchase Order Item
10,4244,6,Create Purchase Order Item -> Receive Order Confirmation -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
11,4210,5,Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt
12,3723,3,Create Purchase Requisition Item -> Create Purchase Order Item -> Record Goods Receipt
13,3548,4,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt
14,2835,1,Create Purchase Order Item
15,2765,4,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt
16,2694,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
17,2221,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt
18,2054,5,Create Purchase Requisition Item -> Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt
19,1898,6,Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
20,1871,5,Vendor creates invoice -> Create Purchase Order Item -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
21,1871,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
22,1685,7,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
23,1551,6,Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
24,1488,2,Create Purchase Requisition Item -> Create Purchase Order Item
25,1417,6,Create Purchase Order Item -> Change Price -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
26,1305,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
27,1107,3,Create Purchase Order Item -> Record Goods Receipt -> Record Invoice Receipt
28,1005,5,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt
29,999,3,Create Purchase Requisition Item -> Create Purchase Order Item -> Delete Purchase Order Item
30,983,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Receive Order Confirmation -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt
31,981,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block
32,909,6,Create Purchase Order Item -> Change Price -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
33,906,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
34,797,3,Create Purchase Order Item -> Change Quantity -> Record Goods Receipt
35,774,6,Create Purchase Order Item -> Vendor creates invoice -> Change Quantity -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
36,727,8,Create Purchase Requisition Item -> Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
