year_month,event_count
2018-10,147964
2018-05,146397
2018-06,143507
2018-07,142436
2018-11,142316
2018-09,140671
2018-03,139088
2018-08,137400
2018-04,133348
2018-02,103959
2018-12,99908
2018-01,73474
2019-01,45128
2017-12,137
2008-06,45
2017-11,22
2017-01,13
2001-04,13
1948-01,10
2017-04,9
1993-05,9
2017-10,8
2017-08,7
2017-05,7
2017-09,7
2017-03,4
2001-06,4
2017-06,3
2017-07,3
2017-02,3
2001-02,2
2019-04,2
2016-04,2
2020-04,2
2001-07,2
2019-12,2
2019-02,2
2016-05,1
2001-01,1
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-11,1
2015-03,1
2019-10,1
