resource,event_count
NONE,399090
user_002,166353
user_029,71539
user_020,39770
batch_06,38100
user_013,35069
user_001,34563
user_012,32707
user_019,29764
user_235,28336
user_015,27941
batch_00,27934
batch_02,27933
user_006,17636
user_040,17627
batch_03,17384
user_057,16089
batch_07,15189
user_036,14745
user_005,14672
user_045,13652
user_038,13316
user_030,12761
user_451,10874
user_060,10132
user_084,9064
user_034,8991
user_058,8008
user_007,7853
user_042,7674
user_059,7639
user_178,7383
user_031,7210
user_107,7150
user_089,6713
user_075,6603
user_064,6573
user_147,6513
batch_12,5988
user_077,5837
user_167,5779
user_066,5712
user_200,5699
user_079,5261
user_023,5137
user_004,5050
user_102,4931
user_142,4845
user_062,4731
user_068,4625
user_070,4491
user_158,4461
user_286,4461
user_065,4446
user_056,4379
batch_05,4347
user_188,4333
user_095,4267
user_172,4157
user_063,3980
user_097,3934
batch_17,3917
user_061,3911
user_152,3860
user_080,3803
user_168,3803
user_000,3722
user_033,3632
user_164,3612
user_049,3552
batch_16,3328
batch_10,3141
user_086,3133
user_120,3128
user_252,3056
user_085,3029
user_067,2944
user_052,2923
user_370,2900
user_127,2799
user_043,2780
user_096,2776
user_071,2745
user_104,2721
user_094,2717
user_053,2681
user_148,2517
user_047,2502
batch_01,2496
batch_04,2480
user_044,2395
user_374,2341
user_048,2294
user_109,2290
user_243,2277
user_190,2231
user_050,2132
user_138,2121
user_602,2101
user_078,2095
user_136,2093
user_325,2091
user_046,2075
user_603,2074
user_204,2053
user_087,2044
user_041,2019
user_171,2019
batch_08,1813
user_144,1807
user_018,1786
user_105,1764
user_098,1738
user_135,1688
batch_11,1669
user_332,1623
user_133,1616
user_453,1610
user_195,1523
user_088,1490
user_177,1451
user_121,1425
user_039,1418
user_035,1401
user_037,1400
user_407,1371
user_137,1353
user_091,1319
user_134,1296
user_113,1283
user_277,1277
user_249,1271
user_201,1231
user_074,1204
user_159,1177
user_429,1123
user_257,1069
user_449,1066
user_192,1059
user_126,1057
user_008,1036
user_417,1024
user_110,1020
user_157,1009
user_153,986
user_108,979
user_186,953
user_117,922
user_112,912
user_193,911
user_258,906
user_054,904
user_335,887
user_574,845
user_072,830
user_267,814
user_092,807
user_359,801
user_024,797
user_082,794
user_156,790
user_433,775
user_211,774
user_377,773
user_262,772
user_073,763
user_124,756
user_141,749
user_176,725
user_208,722
user_162,711
user_011,698
user_140,688
user_263,685
user_032,668
user_187,662
user_524,649
user_202,621
user_432,615
user_280,609
user_322,608
user_101,592
user_130,576
user_099,573
user_304,566
user_446,557
user_154,543
user_250,536
user_076,528
user_161,499
user_203,499
user_103,496
user_234,495
user_215,485
user_210,477
user_119,471
user_196,469
user_421,469
user_461,464
user_375,458
user_308,457
user_100,449
user_424,447
user_155,445
user_372,443
user_269,438
user_198,431
user_591,430
user_327,426
user_485,424
user_384,407
user_175,400
user_207,399
user_572,391
user_051,387
user_510,381
user_081,380
user_317,378
user_363,371
user_436,368
user_189,363
batch_13,362
user_106,355
user_388,345
user_214,342
user_299,336
user_251,325
user_240,320
user_197,316
user_400,309
user_430,307
user_116,300
user_311,296
user_288,291
user_093,287
user_027,279
user_294,279
user_191,274
user_184,273
user_307,271
user_182,270
user_220,269
user_428,267
user_069,266
user_145,262
user_464,260
user_115,256
user_222,251
user_604,251
user_173,250
user_180,235
user_360,229
user_480,224
user_484,222
user_273,219
user_146,218
user_447,217
user_122,214
user_128,213
user_321,213
user_373,213
user_457,211
user_216,207
user_233,205
user_355,204
user_450,201
user_169,187
user_194,186
user_014,184
user_592,183
user_381,182
user_509,182
user_010,179
user_306,178
user_231,177
user_232,177
user_293,176
user_353,176
user_497,167
user_131,166
user_283,163
user_345,163
user_238,160
user_486,160
user_440,159
user_123,158
user_163,156
user_185,156
user_462,154
user_468,151
user_292,150
user_221,148
user_181,145
user_224,142
user_530,142
user_139,140
user_212,139
user_466,139
user_519,139
user_320,136
user_170,134
user_488,134
user_239,132
user_083,131
user_218,130
user_539,129
user_469,128
user_223,123
user_016,122
user_009,118
user_003,116
user_244,116
user_439,116
user_206,115
user_392,115
user_264,111
user_300,108
user_333,106
user_272,105
user_329,104
user_349,103
user_346,102
user_350,101
user_358,99
user_174,97
user_236,94
user_435,94
user_465,93
user_213,92
user_118,90
user_217,90
user_441,90
user_470,88
user_255,86
user_326,86
user_266,85
user_125,83
user_166,82
user_337,82
user_482,82
user_090,81
user_471,81
user_151,80
user_271,79
user_179,78
batch_14,78
user_319,78
user_331,78
user_475,78
user_324,77
user_411,77
user_022,75
user_391,74
user_434,73
user_284,71
user_369,71
user_114,70
user_352,70
user_209,69
user_199,67
user_265,66
user_344,66
user_149,65
user_205,64
user_225,64
user_312,63
user_493,63
user_500,62
user_597,62
user_318,61
user_460,61
user_525,61
user_419,58
user_254,57
user_270,56
user_458,56
user_330,54
user_387,53
user_275,52
user_362,52
