activity,count,mean,median,p75,p90,p95,p99,max,sum
Clear Invoice,193595,977.141702953761,796.55,1491.6,2180.366666666667,2497.7166666666667,2808.134333333333,5577.033333333334,189169747.98333335
Record Invoice Receipt,226929,411.04272797512294,169.81666666666666,555.7333333333333,1014.5333333333333,1419.4166666666667,3397.3333333333335,8110.683333333333,93277515.21666667
Vendor creates invoice,215544,201.5859864652538,82.46666666666667,253.01666666666668,514.4166666666666,758.0166666666667,1619.2,7977.25,43450649.86666667
Record Goods Receipt,312283,138.84978390327575,36.11666666666667,153.90833333333333,395.6166666666667,615.7166666666667,1204.0589999999995,7082.616666666667,43360427.06666666
Remove Payment Block,57071,371.7792506994212,101.33333333333333,434.0333333333333,1196.85,1696.8833333333334,2759.2833333333333,7880.616666666667,21217813.616666667
Cancel Invoice Receipt,6937,1228.3752438614194,549.1,2181.25,3321.483333333333,4373.6,5304.816666666667,8375.916666666666,8521239.066666666
Change Quantity,21428,299.60433000435563,80.66666666666666,337.825,931.1816666666665,1385.5441666666666,2450.9633333333327,5789.366666666667,6419921.583333333
Change Price,12365,239.3691670036393,64.91666666666667,243.3,671.0300000000001,1108.0833333333333,2409.5806666666813,8069.916666666667,2959799.75
Create Purchase Order Item,51578,52.08709139555624,10.966666666666667,17.333333333333332,61.53333333333333,176.5,895.6,7617.0,2686548.0
Delete Purchase Order Item,8869,238.42051339872964,36.5,234.71666666666667,577.79,992.0466666666676,3047.237333333333,8877.183333333332,2114551.533333333
Vendor creates debit memo,6029,228.1189113728092,14.483333333333333,181.88333333333333,709.9866666666667,1496.2333333333331,1811.961333333334,5862.683333333333,1375328.9166666667
Change Approval for Purchase Order,6948,149.39920600652465,3.55,78.11666666666666,498.78333333333336,843.6,1829.7,5922.516666666666,1038025.6833333333
Block Purchase Order Item,514,1377.8588845654995,741.6333333333333,2023.9666666666667,4048.483333333333,4048.516666666667,4048.516666666667,4876.4,708219.4666666667
Change Delivery Indicator,3287,165.5186188013386,17.75,143.88333333333333,445.3266666666677,841.8316666666666,2036.2833333333333,6896.566666666667,544059.7
Receive Order Confirmation,32058,16.068454052030695,1.5,6.65,25.083333333333332,73.42916666666649,302.5905,1369.0,515122.5
Release Purchase Order,1588,279.3139483627204,99.16666666666667,113.38333333333334,390.99833333333333,2874.3,2874.3,2874.3,443550.55
Cancel Goods Receipt,3045,130.44738916256156,12.05,97.21666666666667,339.56666666666666,529.7,2211.124,5784.033333333334,397212.3
SRM: In Transfer to Execution Syst.,1734,185.96853133410227,0.0,0.0,0.7233333333333348,300.0,6166.90550000001,7871.75,322469.43333333335
Cancel Subsequent Invoice,490,344.81765306122446,177.39999999999998,505.78333333333336,840.5333333333333,1117.2566666666658,1921.1883333333426,3672.6666666666665,168960.65
Record Service Entry Sheet,163427,0.994947285332289,0.0,0.0,0.0,0.016666666666666666,0.1,3487.5666666666666,162601.25
SRM: Created,242,637.8128099173553,232.40833333333333,704.6291666666667,1930.5716666666672,2416.5533333333324,4440.525333333336,5574.05,154350.69999999998
Reactivate Purchase Order Item,543,114.87102516881522,19.733333333333334,109.5,192.91000000000005,474.48499999999905,1911.460000000013,3742.9666666666667,62374.96666666667
Change Storage Location,415,137.14883534136544,46.7,189.53333333333333,375.66333333333347,501.43333333333334,1532.2200000000028,2097.6,56916.76666666666
Update Order Confirmation,244,109.25457650273225,47.3,141.94583333333333,230.83666666666693,371.6283333333331,987.9668333333326,1662.65,26658.11666666667
Release Purchase Requisition,467,28.896359743040684,12.25,35.9,80.4,85.89500000000001,130.189,225.9,13494.599999999999
SRM: Ordered,1602,2.150478568456097,0.0,0.0,0.0,0.016666666666666666,3.8818333333333346,1584.5166666666667,3445.066666666667
SRM: Complete,1602,1.7959737827715354,2.0,2.0,2.0166666666666666,2.0166666666666666,2.033166666666667,292.96666666666664,2877.1499999999996
SRM: Change was Transmitted,1425,0.0005847953216374269,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.8333333333333334
SRM: Awaiting Approval,1602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRM: Document Completed,1602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
