dimension,category,case_count,count,mean,median,p75,p90,p95,p99,max,sum
Item Category,2-way match,891,891,1500.8820613542835,658.6333333333333,1708.8666666666666,4871.8,6003.216666666666,7106.223333333341,8353.033333333333,1337285.9166666665
Item Category,"3-way match, invoice after GR",15129,15129,1668.9770881529953,1517.6,2273.4666666666667,3178.9900000000052,4480.983333333334,8495.006666666666,9118.833333333334,25249954.366666667
Item Category,"3-way match, invoice before GR",220752,220752,1741.759648006209,1592.6166666666666,2403.6666666666665,3047.5,3411.45,5081.229999999997,9792.0,384496925.81666666
Item Category,Consignment,14494,14494,578.6015868635297,478.33333333333337,717.9333333333333,1168.295,1492.0208333333262,2131.3711666666663,5516.733333333334,8386251.4
Document Type,EC Purchase order,1425,1425,2081.5498245614035,1542.8833333333334,2159.7,4973.643333333341,6892.559999999996,8748.941333333332,9098.15,2966208.5
Document Type,Framework order,1363,1363,2580.8602714600147,1071.5166666666667,4563.4,8350.67,8745.148333333333,9079.216666666667,9118.833333333334,3517712.55
Document Type,Standard PO,248478,248478,1662.0646352997046,1537.45,2357.45,3024.4666666666667,3387.55,5062.802500000002,9792.0,412986496.45
Item Type,Consignment,14494,14494,578.6015868635297,478.33333333333337,717.9333333333333,1168.295,1492.0208333333262,2131.3711666666663,5516.733333333334,8386251.4
Item Type,Limit,891,891,1500.8820613542835,658.6333333333333,1708.8666666666666,4871.8,6003.216666666666,7106.223333333341,8353.033333333333,1337285.9166666665
Item Type,Service,5800,5800,1315.0088218390806,467.925,1944.6,3041.865,6697.010833333334,8877.183333333332,9118.833333333334,7627051.166666667
Item Type,Standard,219922,219922,1748.1634908437234,1636.0,2399.5625,3028.95,3382.8333333333335,5094.216666666666,9792.0,384459611.23333335
Item Type,Subcontracting,4669,4669,2086.9127614764047,1989.7666666666667,3598.633333333333,4426.733333333334,4644.916666666667,6428.116666666667,8237.333333333334,9743795.683333334
Item Type,Third-party,5490,5490,1441.9712386156648,1200.3333333333333,1977.0333333333333,2735.05,3027.98,4594.840833333331,8284.55,7916422.1
Company,companyID_0000,250371,250371,1670.0263791866203,1538.15,2358.2,3025.65,3407.75,5189.25,9792.0,418126174.5833333
Company,companyID_0001,2,2,3299.6499999999996,3299.6499999999996,4529.583333333333,5267.543333333333,5513.53,5710.319333333333,5759.516666666666,6599.299999999999
Company,companyID_0002,2,2,178.85,178.85,183.65833333333333,186.54333333333332,187.505,188.27433333333335,188.46666666666667,357.7
Company,companyID_0003,891,891,1500.8820613542835,658.6333333333333,1708.8666666666666,4871.8,6003.216666666666,7106.223333333341,8353.033333333333,1337285.9166666665
