case_id,reason,case_min_timestamp,case_max_timestamp,total_events
2000000084_00001,left_censored_case_started_before2018,2017-08-31T21:59:00+00:00,2018-02-23T11:14:00+00:00,12
2000000093_00001,left_censored_case_started_before2018,2017-12-31T22:59:00+00:00,2018-04-12T12:07:00+00:00,13
2000000097_00001,extreme_timestamp_before2017_or_after2019,2001-02-23T22:59:00+00:00,2019-01-17T11:00:00+00:00,23
2000000100_00001,left_censored_case_started_before2018,2017-01-31T22:59:00+00:00,2019-04-30T21:59:00+00:00,464
2000000109_00001,extreme_timestamp_before2017_or_after2019,2016-05-02T21:59:00+00:00,2018-02-08T13:44:00+00:00,13
2000000115_00001,left_censored_case_started_before2018,2017-12-20T22:59:00+00:00,2019-01-17T11:00:00+00:00,46
2000000157_00001,left_censored_case_started_before2018,2017-03-13T22:59:00+00:00,2018-07-20T14:36:00+00:00,26
2000000157_00002,left_censored_case_started_before2018,2017-04-27T21:59:00+00:00,2018-07-20T12:04:00+00:00,26
2000000157_00003,left_censored_case_started_before2018,2017-05-11T21:59:00+00:00,2018-07-20T12:45:00+00:00,26
2000000157_00004,left_censored_case_started_before2018,2017-06-05T21:59:00+00:00,2018-04-26T09:15:00+00:00,22
2000000204_00001,left_censored_case_started_before2018,2017-12-05T22:59:00+00:00,2019-01-17T11:02:00+00:00,14
4507000430_00010,left_censored_case_started_before2018,2017-10-11T21:59:00+00:00,2019-01-16T09:24:00+00:00,245
4507000430_00020,left_censored_case_started_before2018,2017-12-31T22:59:00+00:00,2019-01-07T12:00:00+00:00,116
4507000440_00010,left_censored_case_started_before2018,2017-09-21T21:59:00+00:00,2019-01-10T14:46:00+00:00,923
4507000444_00010,left_censored_case_started_before2018,2017-12-31T22:59:00+00:00,2019-01-07T12:05:00+00:00,82
4507000449_00080,left_censored_case_started_before2018,2017-11-03T22:59:00+00:00,2019-01-07T12:21:00+00:00,7
4507000454_00010,left_censored_case_started_before2018,2017-09-28T21:59:00+00:00,2019-01-07T12:24:00+00:00,196
4507000455_00010,left_censored_case_started_before2018,2017-10-23T21:59:00+00:00,2019-01-07T12:30:00+00:00,99
4507000540_00010,left_censored_case_started_before2018,2017-11-07T22:59:00+00:00,2018-01-18T12:46:00+00:00,5
4507000542_00030,left_censored_case_started_before2018,2017-12-30T23:00:00+00:00,2018-01-18T10:15:00+00:00,4
4507000561_00010,left_censored_case_started_before2018,2017-12-19T22:59:00+00:00,2019-01-03T15:12:00+00:00,253
