case_start_month,count,mean,median,p75,p90,p95,p99,max,sum
2018-01,21268,2015.8320442292018,1847.05,2676.3166666666666,3240.2166666666667,4473.3641666666645,8345.116166666645,9118.833333333334,42872715.916666664
2018-02,20894,1929.3161505695414,1800.55,2500.8333333333335,3213.57,4254.283333333334,7034.366666666667,8390.683333333332,40311131.65
2018-03,24845,2028.4516327899644,1844.7,2734.85,3717.8366666666707,4553.61,6455.8,7727.866666666667,50396880.81666666
2018-04,22460,2026.874602255862,1852.4333333333334,2712.054166666667,3432.5,4395.2,5953.483333333334,6913.133333333333,45523603.56666666
2018-05,23000,1904.7920050724638,1827.775,2571.9666666666667,3098.366666666667,3605.0833333333335,5183.0803333333315,6270.083333333333,43810216.11666667
2018-06,22271,1926.7955719695271,1897.35,2592.516666666667,3097.35,3582.35,4960.974999999999,5521.233333333334,42911664.18333334
2018-07,21081,1884.1899641066996,1892.7666666666667,2570.4666666666667,3097.25,3388.5833333333335,4339.833333333333,4757.116666666667,39720608.63333333
2018-08,20198,1787.4243076872297,1736.2416666666668,2549.3625,3072.4166666666665,3269.0025,3556.967166666667,9792.0,36102396.166666664
2018-09,18650,1514.5293288650582,1553.2333333333333,2267.6125,2752.6833333333334,2883.15,3072.766666666667,3303.6666666666665,28245971.983333334
2018-10,21855,1183.8509380004575,1193.7333333333333,1763.3166666666666,2112.983333333333,2249.1833333333334,2416.724333333333,2591.5666666666666,25873062.25
2018-11,20616,840.7285918703918,899.4,1261.4,1473.8666666666666,1551.75,1671.7166666666667,8927.983333333334,17332460.65
2018-12,14128,450.8568492827482,516.925,731.4333333333333,863.45,917.3774999999996,1026.2833333333333,1119.5166666666667,6369705.566666666
