resource,event_count,distinct_activities,activity_entropy,active_months
user_002,165756,1,0.0,13
user_029,71469,4,0.6958450129643817,13
user_020,39618,5,0.07483749803735461,11
user_013,34630,5,0.21797439411711578,11
user_001,34103,5,0.18449672394527764,13
user_012,32387,5,0.16056031797902623,13
user_019,29580,5,0.05149887501949671,12
user_235,28332,5,0.03539712163469848,7
user_015,27856,7,0.8913860740321718,13
user_040,17625,7,0.36519575944591615,13
user_006,17549,7,0.6266021636412854,6
user_057,16089,9,0.4505707603796749,12
user_036,14721,7,0.3725308211721207,13
user_005,14611,1,0.0,5
user_045,13649,8,0.5782647498817011,13
user_038,13260,6,0.43182971838716294,13
user_030,12760,3,0.01834154155486438,13
user_451,10874,1,0.0,4
user_060,10127,13,0.9944400520636865,13
user_084,9054,12,1.4851021138403582,13
user_034,8988,2,0.050887008076189226,13
user_058,8005,2,0.03277901436099182,13
user_007,7732,4,0.06744098080150482,10
user_042,7668,6,0.37690746850645007,12
user_059,7637,13,1.019411621945387,13
user_178,7383,7,0.41796491050005236,10
user_031,7209,2,0.024664320812489413,13
user_107,7141,2,0.01675766132748758,13
user_089,6712,10,0.9028540133710178,13
user_075,6601,8,0.5515130320434759,13
user_064,6571,11,1.2599934092514662,13
user_147,6512,8,0.5275906418542864,9
user_077,5835,4,0.1874626816376846,13
user_167,5761,8,0.9882528810897877,13
user_066,5711,12,0.7680600458144081,13
user_200,5654,3,0.504302948776236,13
user_079,5258,9,0.4755100017965668,13
user_023,5133,2,0.007727956796507129,8
user_004,4959,5,0.734441677151837,13
user_102,4929,7,0.5933157428503406,13
user_142,4828,9,0.662002022043287,13
user_062,4731,1,0.0,13
user_068,4621,8,0.6483612346612793,13
user_070,4489,10,1.1868947283480054,13
user_286,4461,10,0.6630859751552636,7
user_158,4460,8,0.5651818512566916,8
user_065,4446,7,0.12539134004414335,11
user_056,4379,1,0.0,13
user_188,4331,2,0.07791632403366973,13
user_095,4261,10,0.7823391455324837,13
user_172,4157,7,0.6254039106979702,13
user_063,3968,14,1.5891268133530772,13
user_097,3933,9,0.6458548518843156,13
user_061,3911,1,0.0,13
user_152,3860,2,0.04039396683908641,13
user_168,3797,3,0.06532056405514855,13
user_080,3795,2,0.024349801785927785,13
user_033,3630,10,0.8236729627183501,13
user_164,3612,7,0.6725527142396824,13
user_049,3552,1,0.0,13
user_000,3550,8,0.8989854826279521,13
user_086,3130,2,0.11544047672834722,13
user_120,3128,2,0.017819508174010512,13
user_252,3056,8,0.9734995680237465,13
user_085,3026,6,0.7265009138249158,10
user_067,2944,1,0.0,13
user_052,2923,5,0.48653339996478134,5
user_370,2899,10,0.5385869149753726,7
user_127,2798,2,0.04765261783537837,13
user_043,2779,7,0.6569116473589788,13
user_096,2773,2,0.02388494294958971,13
user_071,2745,2,0.04490082285654705,13
user_104,2720,2,0.03417780067588593,13
user_094,2716,2,0.05909189721340531,13
user_053,2681,2,0.02032975794026025,13
user_148,2517,11,1.3036835092947476,13
user_047,2501,1,0.0,11
user_044,2393,2,0.1643148399882282,13
user_374,2341,1,0.0,6
user_048,2291,1,0.0,13
user_109,2288,7,0.5971573785067285,8
user_243,2277,8,1.0713934098199491,12
user_190,2228,2,0.0212431051257606,12
user_050,2130,1,0.0,12
user_138,2121,6,0.8257234247040995,13
user_136,2093,7,1.0706793195496436,13
user_325,2091,8,1.019218239720166,5
user_078,2083,9,0.7520282778676542,10
user_046,2075,1,0.0,12
user_204,2053,8,0.5524256992761515,7
user_087,2044,2,0.03348473747466606,12
user_171,2019,9,0.4205105293263265,12
user_041,2019,2,0.038904588841865234,9
user_602,1911,4,0.7470853459643716,13
user_603,1885,1,0.0,13
user_144,1807,3,0.023762799045982014,13
user_018,1779,2,0.015955901643423205,2
user_105,1764,9,0.7249657100400202,10
user_098,1734,2,0.2409547690774967,13
user_135,1672,7,0.9662758541941464,13
user_332,1623,4,0.14526947734381299,2
user_133,1616,4,0.2317764617275435,13
user_453,1610,1,0.0,4
user_195,1523,8,1.64414792490445,9
user_088,1490,2,0.01857421088101591,13
user_121,1421,7,0.662986001769935,13
user_039,1418,5,0.08722839320487165,12
user_035,1401,2,0.03882975210361519,10
user_037,1399,5,0.1371991413149788,9
user_407,1370,5,0.668405928910403,5
user_137,1353,1,0.0,13
user_113,1283,1,0.0,13
user_277,1277,5,0.21735964143410097,13
user_249,1271,4,0.2301854195316597,13
user_091,1239,11,1.1686581664455513,12
user_201,1229,8,0.4015136817827417,13
user_134,1224,3,0.04371716367690584,12
user_074,1204,1,0.0,13
user_177,1190,9,0.9401299645323988,13
user_159,1177,4,0.32899153523746183,13
user_429,1123,1,0.0,5
user_257,1069,5,0.7643293352258831,5
user_449,1066,1,0.0,4
user_192,1059,4,0.20803239025602316,3
user_126,1056,2,0.13579395875159386,13
user_008,1031,2,0.014052699793529319,2
user_417,1024,5,0.977744069173508,3
user_157,1009,1,0.0,12
user_153,986,5,0.6183818886183271,12
user_108,979,7,0.5744014739365617,8
user_186,953,2,0.008246684219385991,10
user_117,920,10,1.0347906189222957,13
user_112,908,3,0.2690540713204635,7
user_193,907,10,1.3147920128309336,13
user_258,906,2,0.008618639322854458,11
user_054,904,5,0.48905153010041996,3
user_335,886,5,0.6193411345039092,7
user_574,845,5,0.2700816255044692,3
user_072,830,7,0.8045609565148302,13
user_082,794,2,0.04444485718746687,9
user_267,794,5,0.4666684399315761,12
user_092,791,7,0.7882406905665412,13
user_156,789,5,0.2412837818720267,10
user_024,780,1,0.0,2
user_359,775,3,0.10218148601019938,13
user_433,775,1,0.0,5
user_211,774,1,0.0,11
user_377,773,5,0.49695617172879425,4
user_262,772,1,0.0,9
user_124,751,1,0.0,12
user_141,748,6,0.7532042198756186,4
user_176,724,9,1.3715399272203859,13
user_208,719,8,0.9959028001509146,13
user_073,714,2,0.6652042646399301,1
user_162,711,2,0.034754204439870276,13
user_263,682,7,0.9976017353394053,13
user_032,668,1,0.0,11
user_187,662,8,1.286955954036417,13
user_524,649,2,0.4349385381527504,1
user_011,647,4,0.5124677022645782,11
user_140,640,7,0.776727157752879,12
user_202,621,2,0.0216958836196545,9
user_110,620,2,0.12565383856260745,12
user_432,615,1,0.0,5
user_280,609,4,0.7297415843573396,4
user_322,608,4,0.6652442192647321,6
user_101,592,2,0.09246434141822439,13
user_130,575,2,0.02316341464314934,3
user_099,572,2,0.03276870486950656,7
user_304,566,1,0.0,11
user_446,557,1,0.0,4
user_154,543,1,0.0,12
user_250,536,1,0.0,2
user_076,528,2,0.07048427083336122,6
user_234,495,7,0.9560818939793917,13
user_103,492,8,1.2498369128513727,12
user_215,485,7,0.42767673172412274,2
user_210,477,3,0.11674844805292937,10
user_196,469,2,0.24903697922162238,6
user_421,469,1,0.0,5
user_119,467,5,0.7910952324938773,13
user_461,464,1,0.0,5
user_375,458,2,0.15149715914872844,5
user_308,457,6,0.8583665414031537,6
user_161,449,7,0.700614277427989,7
user_100,446,4,0.36920757200215004,4
user_424,444,7,0.8451432498602213,5
user_372,443,1,0.0,5
user_155,443,3,0.15917688834188662,13
user_269,438,1,0.0,8
user_198,431,4,0.5430208766011224,12
user_591,430,7,0.6133796177362454,3
user_327,426,1,0.0,6
user_485,424,1,0.0,5
user_384,407,1,0.0,4
user_175,400,4,0.1690115114465923,9
user_207,398,10,1.2276469786113207,13
user_572,391,4,0.29287872873017196,2
user_051,387,4,0.1830488834093994,12
user_510,381,1,0.0,4
user_081,379,6,0.1709991399786231,5
user_317,378,1,0.0,5
user_363,371,2,0.033532908936075495,9
user_436,368,5,0.3849463116562316,5
user_189,363,1,0.0,5
user_106,355,11,1.1877114985243704,12
user_388,345,4,0.5034048265738891,5
user_299,336,4,0.6145048611602248,4
user_203,329,7,0.3091813125943724,13
user_251,325,4,0.1664321108321237,5
user_240,320,6,0.21786931418441655,4
user_214,318,4,0.40817150926523244,12
user_197,313,1,0.0,9
user_400,309,2,0.021785506166803883,3
user_430,307,5,0.8090809754020778,5
user_116,296,4,0.48865411902726674,13
user_311,296,4,0.7130878585089747,11
user_288,291,4,0.9279202028743102,11
user_093,287,2,0.2617644829090154,12
user_294,278,5,0.5014348714914517,8
user_027,278,1,0.0,4
user_191,274,4,0.4741777624527692,3
user_184,273,1,0.0,13
user_307,271,2,0.043581346805846265,5
user_182,270,2,0.10656595882801999,13
user_220,269,1,0.0,11
user_428,267,5,0.7140618982959531,3
user_069,266,1,0.0,3
user_464,260,1,0.0,4
user_115,256,3,0.33802002822336424,7
user_222,251,8,1.2578383046611392,6
user_173,250,5,0.7851103781821311,10
user_604,238,1,0.0,12
user_180,235,2,0.027478531192234992,6
user_360,229,1,0.0,6
user_480,224,1,0.0,4
user_484,222,1,0.0,4
user_146,218,6,0.4714302157735501,13
user_447,217,1,0.0,4
user_122,214,8,0.7611616742098245,13
user_321,213,1,0.0,10
user_373,213,1,0.0,9
user_128,213,4,0.2515998934118459,12
user_457,211,2,0.3824942719491933,4
user_216,207,4,0.8784167380331749,13
user_233,205,1,0.0,12
user_355,204,2,0.07664880077618422,3
user_450,201,1,0.0,4
user_169,187,7,1.1744106106873382,11
user_273,185,2,0.28140183959141857,12
user_592,183,1,0.0,2
user_194,182,7,1.0156684278334218,11
