resource_kind,resource,event_count
no_recorded_user,NONE,396241
human_user,user_002,165756
human_user,user_029,71469
human_user,user_020,39618
batch_user,batch_06,38100
human_user,user_013,34630
human_user,user_001,34103
human_user,user_012,32387
human_user,user_019,29580
human_user,user_235,28332
batch_user,batch_02,27857
human_user,user_015,27856
batch_user,batch_00,27754
human_user,user_040,17625
human_user,user_006,17549
batch_user,batch_03,17380
human_user,user_057,16089
batch_user,batch_07,15185
human_user,user_036,14721
human_user,user_005,14611
human_user,user_045,13649
human_user,user_038,13260
human_user,user_030,12760
human_user,user_451,10874
human_user,user_060,10127
human_user,user_084,9054
human_user,user_034,8988
human_user,user_058,8005
human_user,user_007,7732
human_user,user_042,7668
human_user,user_059,7637
human_user,user_178,7383
human_user,user_031,7209
human_user,user_107,7141
human_user,user_089,6712
human_user,user_075,6601
human_user,user_064,6571
human_user,user_147,6512
batch_user,batch_12,5988
human_user,user_077,5835
human_user,user_167,5761
human_user,user_066,5711
human_user,user_200,5654
human_user,user_079,5258
human_user,user_023,5133
human_user,user_004,4959
human_user,user_102,4929
human_user,user_142,4828
human_user,user_062,4731
human_user,user_068,4621
human_user,user_070,4489
human_user,user_286,4461
human_user,user_158,4460
human_user,user_065,4446
human_user,user_056,4379
batch_user,batch_05,4339
human_user,user_188,4331
human_user,user_095,4261
human_user,user_172,4157
human_user,user_063,3968
human_user,user_097,3933
batch_user,batch_17,3917
human_user,user_061,3911
human_user,user_152,3860
human_user,user_168,3797
human_user,user_080,3795
human_user,user_033,3630
human_user,user_164,3612
human_user,user_049,3552
human_user,user_000,3550
batch_user,batch_16,3328
batch_user,batch_10,3141
human_user,user_086,3130
human_user,user_120,3128
human_user,user_252,3056
human_user,user_085,3026
human_user,user_067,2944
human_user,user_052,2923
human_user,user_370,2899
human_user,user_127,2798
human_user,user_043,2779
human_user,user_096,2773
human_user,user_071,2745
human_user,user_104,2720
human_user,user_094,2716
human_user,user_053,2681
human_user,user_148,2517
human_user,user_047,2501
batch_user,batch_01,2494
batch_user,batch_04,2480
human_user,user_044,2393
human_user,user_374,2341
human_user,user_048,2291
human_user,user_109,2288
human_user,user_243,2277
human_user,user_190,2228
human_user,user_050,2130
human_user,user_138,2121
human_user,user_136,2093
human_user,user_325,2091
human_user,user_078,2083
human_user,user_046,2075
human_user,user_204,2053
human_user,user_087,2044
human_user,user_041,2019
human_user,user_171,2019
human_user,user_602,1911
human_user,user_603,1885
batch_user,batch_08,1813
human_user,user_144,1807
human_user,user_018,1779
human_user,user_105,1764
human_user,user_098,1734
human_user,user_135,1672
batch_user,batch_11,1669
human_user,user_332,1623
human_user,user_133,1616
human_user,user_453,1610
human_user,user_195,1523
human_user,user_088,1490
human_user,user_121,1421
human_user,user_039,1418
human_user,user_035,1401
human_user,user_037,1399
human_user,user_407,1370
human_user,user_137,1353
human_user,user_113,1283
human_user,user_277,1277
human_user,user_249,1271
human_user,user_091,1239
human_user,user_201,1229
human_user,user_134,1224
human_user,user_074,1204
human_user,user_177,1190
human_user,user_159,1177
human_user,user_429,1123
human_user,user_257,1069
human_user,user_449,1066
human_user,user_192,1059
human_user,user_126,1056
human_user,user_008,1031
human_user,user_417,1024
human_user,user_157,1009
human_user,user_153,986
human_user,user_108,979
human_user,user_186,953
human_user,user_117,920
human_user,user_112,908
human_user,user_193,907
human_user,user_258,906
human_user,user_054,904
human_user,user_335,886
human_user,user_574,845
human_user,user_072,830
human_user,user_082,794
human_user,user_267,794
human_user,user_092,791
human_user,user_156,789
human_user,user_024,780
human_user,user_359,775
human_user,user_433,775
human_user,user_211,774
human_user,user_377,773
human_user,user_262,772
human_user,user_124,751
human_user,user_141,748
human_user,user_176,724
human_user,user_208,719
human_user,user_073,714
human_user,user_162,711
human_user,user_263,682
human_user,user_032,668
human_user,user_187,662
human_user,user_524,649
human_user,user_011,647
human_user,user_140,640
human_user,user_202,621
human_user,user_110,620
human_user,user_432,615
human_user,user_280,609
human_user,user_322,608
human_user,user_101,592
human_user,user_130,575
human_user,user_099,572
human_user,user_304,566
human_user,user_446,557
human_user,user_154,543
human_user,user_250,536
human_user,user_076,528
human_user,user_234,495
human_user,user_103,492
human_user,user_215,485
human_user,user_210,477
human_user,user_196,469
human_user,user_421,469
human_user,user_119,467
human_user,user_461,464
human_user,user_375,458
human_user,user_308,457
human_user,user_161,449
human_user,user_100,446
human_user,user_424,444
human_user,user_155,443
human_user,user_372,443
human_user,user_269,438
human_user,user_198,431
human_user,user_591,430
human_user,user_327,426
human_user,user_485,424
human_user,user_384,407
human_user,user_175,400
human_user,user_207,398
human_user,user_572,391
human_user,user_051,387
human_user,user_510,381
human_user,user_081,379
human_user,user_317,378
human_user,user_363,371
human_user,user_436,368
human_user,user_189,363
human_user,user_106,355
batch_user,batch_13,353
human_user,user_388,345
human_user,user_299,336
human_user,user_203,329
human_user,user_251,325
human_user,user_240,320
human_user,user_214,318
