transition,count,mean,median,p75,p90,p95,p99,max,sum,share_of_summarized_gap_hours_pct,tail_ratio_p95_to_median
Record Invoice Receipt -> Clear Invoice,134488,1052.122227633692,866.3333333333334,1537.5333333333333,2184.0383333333334,2479.710833333333,2761.0688333333333,5059.933333333333,141497814.14999998,34.06305723306914,2.8623056944978833
Record Goods Receipt -> Record Invoice Receipt,111962,519.5425968929935,307.79166666666663,681.4833333333333,1154.4650000000001,1566.4158333333335,4382.0,7974.316666666667,58169028.233333334,14.003148739835485,5.089208068227969
Remove Payment Block -> Clear Invoice,49399,872.2974409063611,612.05,1388.6,2214.9,2540.0833333333335,2849.2,5577.033333333334,43090621.28333333,10.373293098554134,4.150123900552788
Create Purchase Order Item -> Vendor creates invoice,103126,286.7094297267421,155.75,354.96666666666664,679.5,1017.5333333333333,2046.6333333333334,6942.733333333334,29567196.650000002,7.117771520079416,6.533119315141787
Vendor creates invoice -> Record Invoice Receipt,95052,301.8814671618342,112.11666666666666,373.89166666666665,852.3166666666667,1194.9666666666667,2032.6833333333334,7619.1,28694437.21666667,6.907670362638079,10.65824290173926
Create Purchase Order Item -> Record Goods Receipt,77001,369.96729501348466,307.6166666666667,479.48333333333335,774.05,1063.15,1745.7666666666667,7082.616666666667,28487851.683333334,6.8579386060895455,3.4560871214173488
Record Invoice Receipt -> Remove Payment Block,37587,512.7659891274466,193.05,720.675,1470.85,1874.8299999999997,3021.4666666666667,7880.616666666667,19273335.233333334,4.639709277976585,9.71162911162911
Vendor creates invoice -> Record Goods Receipt,109983,58.892760699380815,34.333333333333336,81.4,127.93333333333334,158.23333333333332,351.42699999999894,4579.7,6477202.5,1.5592701611191535,4.6087378640776695
Record Goods Receipt -> Vendor creates invoice,80600,79.13532258064517,14.816666666666666,82.71666666666667,207.31666666666666,350.21750000000003,656.65,4046.0333333333333,6378307.0,1.5354628458130535,23.636726659167607
Create Purchase Order Item -> Change Quantity,11745,385.07637008656167,152.33333333333334,480.6333333333333,1146.0,1552.88,2523.1479999999997,5155.25,4522721.966666667,1.0887640782670402,10.193960612691466
Clear Invoice -> Cancel Invoice Receipt,2050,2063.0280243902434,2108.5833333333335,3153.2166666666667,4042.175,4706.233333333334,6138.083333333333,6888.95,4229207.449999999,1.0181057303624248,2.2319408765759
Receive Order Confirmation -> Record Goods Receipt,20393,191.00901616567776,121.71666666666667,214.4,450.246666666666,621.9499999999998,1027.2626666666638,3114.35,3895246.8666666667,0.937710718382853,5.109817883061754
Clear Invoice -> Record Invoice Receipt,3865,764.7594911599829,92.13333333333334,648.85,3192.866666666667,4033.326666666667,5041.95,7460.583333333333,2955795.4333333336,0.7115546598348478,43.777062228654124
Receive Order Confirmation -> Vendor creates invoice,9190,212.47160500544067,155.71666666666667,320.06666666666666,445.89333333333343,587.3383333333333,919.9833333333333,2483.733333333333,1952614.0499999998,0.4700567605145929,3.7718398801241566
Record Invoice Receipt -> Cancel Invoice Receipt,2658,722.0806997742663,265.0,1153.5,2197.766666666667,2763.3,3265.0666666666666,6432.966666666666,1919290.5,0.46203471439552196,10.427547169811321
Change Quantity -> Vendor creates invoice,5993,296.6212581344903,152.18333333333334,393.96666666666664,777.6666666666667,1041.2833333333333,2166.9333333333334,3944.9333333333334,1777651.2000000002,0.42793759698537404,6.842295476946664
Create Purchase Order Item -> Delete Purchase Order Item,6884,223.88817063722644,22.683333333333334,188.85416666666669,556.203333333333,989.4775,3065.830833333334,8877.183333333332,1541246.1666666667,0.371027331417014,43.621344599559144
Vendor creates invoice -> Create Purchase Order Item,3084,483.51827712926934,272.65,513.3458333333333,969.1,2055.4666666666667,3008.8,7617.0,1491170.3666666667,0.3589724820072308,7.538847117794487
Change Quantity -> Record Goods Receipt,9195,152.70782671741887,24.6,173.175,482.4966666666668,738.95,1253.6659999999936,4685.4,1404148.4666666666,0.33802352263257873,30.038617886178862
Clear Invoice -> Clear Invoice,3077,426.17242443938903,184.83333333333334,675.9666666666667,860.0466666666666,1451.7433333333313,2330.25,4512.383333333333,1311332.55,0.3156797578150892,7.8543372407574275
Record Goods Receipt -> Remove Payment Block,15356,75.79020035599548,9.283333333333333,16.320833333333333,98.75,366.5958333333333,1424.9166666666667,5237.85,1163834.3166666667,0.28017220744060933,39.48967684021544
Record Invoice Receipt -> Record Goods Receipt,15456,71.80652713077984,27.95,90.38333333333334,148.775,251.77083333333331,644.3800000000012,3318.8166666666666,1109841.683333333,0.26717445075832025,9.007901013714967
Create Purchase Order Item -> Change Price,6420,163.98707424714434,26.933333333333334,167.1375,429.06666666666666,703.0166666666667,1479.3541666666545,8069.916666666667,1052797.0166666666,0.25344197187035566,26.10210396039604
