transition,h1_count,h2_count,h1_median_hours,h2_median_hours,median_shift_hours,median_ratio_h2_h1,wasserstein_hours,abs_median_shift_hours
Clear Invoice -> Cancel Invoice Receipt,1861,189,2280.25,331.15,-1949.1,0.1452253042429558,1597.3342181528014,1949.1
Cancel Goods Receipt -> Vendor creates debit memo,399,114,1165.8666666666666,121.91666666666667,-1043.9499999999998,0.10457170631290029,886.3955722639935,1043.9499999999998
Change Approval for Purchase Order -> Record Goods Receipt,101,150,118.66666666666667,1038.25,919.5833333333334,8.749297752808989,749.467221122112,919.5833333333334
Change Approval for Purchase Order -> Vendor creates invoice,597,287,612.8666666666667,1015.8166666666667,402.95000000000005,1.6574839551832916,687.9487762077907,402.95000000000005
Vendor creates debit memo -> Cancel Invoice Receipt,723,269,485.5,253.03333333333333,-232.46666666666667,0.5211809131479574,612.1360143180092,232.46666666666667
Clear Invoice -> Record Invoice Receipt,3093,772,95.08333333333333,47.86666666666667,-47.21666666666666,0.5034180543382998,606.7595389081254,47.21666666666666
Record Invoice Receipt -> Cancel Invoice Receipt,1840,818,436.65,192.81666666666666,-243.83333333333331,0.4415817397610596,523.1633581154103,243.83333333333331
Change Approval for Purchase Order -> Change Price,285,148,258.1333333333333,667.2,409.0666666666667,2.584710743801653,465.31697605500244,409.0666666666667
Remove Payment Block -> Cancel Invoice Receipt,184,151,318.6333333333333,221.58333333333334,-97.04999999999998,0.695417930745894,428.0145893319897,97.04999999999998
Change Price -> Record Invoice Receipt,549,358,379.51666666666665,600.0166666666667,220.5,1.5810021518598216,336.9516071204459,220.5
Vendor creates invoice -> Create Purchase Order Item,1975,1109,372.28333333333336,182.45,-189.83333333333337,0.49008371759860314,331.6002442006902,189.83333333333337
Record Invoice Receipt -> Vendor creates debit memo,326,213,395.35833333333335,81.93333333333334,-313.425,0.20723815947558122,319.0217913822402,313.425
Vendor creates invoice -> Clear Invoice,1170,196,205.46666666666667,520.6,315.1333333333333,2.5337443218689164,281.2420050584337,315.1333333333333
Record Goods Receipt -> Cancel Invoice Receipt,197,159,1006.8,867.9666666666667,-138.83333333333326,0.8621043570388028,278.0669758111718,138.83333333333326
Remove Payment Block -> Clear Invoice,31712,17687,737.6,515.35,-222.25,0.6986849240780911,227.25285631876523,222.25
Record Goods Receipt -> Record Invoice Receipt,63713,48249,233.025,383.15,150.12499999999997,1.6442441798090333,209.0111458333334,150.12499999999997
Change Price -> Change Quantity,681,423,123.5,0.0,-123.5,0.0,205.56211714104205,123.5
Change Delivery Indicator -> Record Invoice Receipt,392,312,242.3,335.95833333333337,93.65833333333336,1.386538726097125,186.11566806209663,93.65833333333336
Create Purchase Order Item -> Block Purchase Order Item,114,138,453.325,554.15,100.82499999999999,1.2224121766944245,185.12749173658779,100.82499999999999
Record Service Entry Sheet -> Record Invoice Receipt,1591,207,31.116666666666667,113.71666666666667,82.6,3.6545259775040173,181.47085391761823,82.6
Record Invoice Receipt -> Remove Payment Block,20151,17436,151.18333333333334,292.18333333333334,141.0,1.932642487046632,170.58863337787713,141.0
Clear Invoice -> Clear Invoice,2237,840,191.28333333333333,166.95,-24.333333333333343,0.8727890563736167,161.57007213636464,24.333333333333343
Record Service Entry Sheet -> Vendor creates invoice,1985,679,61.05,278.1333333333333,217.08333333333331,4.555828555828556,159.54296530557485,217.08333333333331
Clear Invoice -> Remove Payment Block,550,209,287.55,188.38333333333333,-99.16666666666669,0.6551324407349446,157.64020733652313,99.16666666666669
Change Approval for Purchase Order -> Create Purchase Order Item,166,200,0.0,0.0,0.0,,142.3009246987952,0.0
Change Quantity -> Record Invoice Receipt,392,267,165.15833333333333,290.53333333333336,125.37500000000003,1.7591200363287756,139.64250984101497,125.37500000000003
Create Purchase Order Item -> Change Quantity,6069,5676,143.5,169.35000000000002,25.850000000000023,1.1801393728222997,135.27803474890766,25.850000000000023
Record Invoice Receipt -> Clear Invoice,86843,47645,983.025,754.2666666666667,-228.75833333333333,0.7672914388409925,128.56973166666663,228.75833333333333
Create Purchase Order Item -> Record Invoice Receipt,594,1063,121.2,33.983333333333334,-87.21666666666667,0.2803905390539054,118.58518259843127,87.21666666666667
Vendor creates invoice -> Change Price,435,417,59.28333333333333,63.4,4.116666666666667,1.069440539780714,115.05161333002572,4.116666666666667
Create Purchase Order Item -> Change Delivery Indicator,264,182,227.625,239.425,11.800000000000011,1.0518396485447556,113.13378357753359,11.800000000000011
Create Purchase Order Item -> Cancel Goods Receipt,643,281,56.81666666666667,58.63333333333333,1.8166666666666629,1.0319741859782927,112.22712347038753,1.8166666666666629
