start_quarter,end_activity,cases,quarter_total,share_pct
2018Q1,Clear Invoice,56981,67007,85.03738415389437
2018Q1,Record Goods Receipt,4373,67007,6.5261838315399885
2018Q1,Delete Purchase Order Item,2479,67007,3.699613473219216
2018Q1,Record Invoice Receipt,1395,67007,2.081872043219365
2018Q1,Cancel Invoice Receipt,668,67007,0.9969107705165132
2018Q1,Create Purchase Order Item,198,67007,0.29549151581178085
2018Q1,Change Delivery Indicator,183,67007,0.273105794916949
2018Q1,Change Approval for Purchase Order,144,67007,0.21490292059038607
2018Q1,Record Service Entry Sheet,144,67007,0.21490292059038607
2018Q1,Block Purchase Order Item,118,67007,0.17610100437267748
2018Q1,Change Quantity,60,67007,0.08954288357932753
2018Q1,Set Payment Block,58,67007,0.08655812079334994
2018Q1,Change Price,53,67007,0.07909621382840598
2018Q1,Remove Payment Block,45,67007,0.06715716268449565
2018Q1,Cancel Goods Receipt,34,67007,0.050740967361618934
2018Q1,SRM: Transfer Failed (E.Sys.),30,67007,0.04477144178966377
2018Q1,SRM: In Transfer to Execution Syst.,15,67007,0.022385720894831884
2018Q1,Reactivate Purchase Order Item,10,67007,0.014923813929887923
2018Q1,Receive Order Confirmation,4,67007,0.005969525571955169
2018Q1,SRM: Change was Transmitted,4,67007,0.005969525571955169
2018Q1,SRM: Transaction Completed,3,67007,0.004477144178966377
2018Q1,Cancel Subsequent Invoice,2,67007,0.0029847627859775844
2018Q1,Vendor creates debit memo,2,67007,0.0029847627859775844
2018Q1,Vendor creates invoice,2,67007,0.0029847627859775844
2018Q1,Change Currency,1,67007,0.0014923813929887922
2018Q1,Change Final Invoice Indicator,1,67007,0.0014923813929887922
2018Q2,Clear Invoice,58728,67731,86.70771138769544
2018Q2,Record Goods Receipt,4701,67731,6.940691854542234
2018Q2,Delete Purchase Order Item,2005,67731,2.960239772039391
2018Q2,Record Invoice Receipt,917,67731,1.3538852224240008
2018Q2,Cancel Invoice Receipt,590,67731,0.8710930002509929
2018Q2,Change Delivery Indicator,211,67731,0.3115264797507788
2018Q2,Change Approval for Purchase Order,174,67731,0.25689861363334365
2018Q2,Record Service Entry Sheet,147,67731,0.21703503565575585
2018Q2,Remove Payment Block,53,67731,0.07825072714119088
2018Q2,Cancel Goods Receipt,46,67731,0.06791572544329776
2018Q2,Change Price,46,67731,0.06791572544329776
2018Q2,Change Quantity,33,67731,0.04872215086149621
2018Q2,Create Purchase Order Item,25,67731,0.03691072034961834
2018Q2,Block Purchase Order Item,20,67731,0.029528576279694674
2018Q2,SRM: Transfer Failed (E.Sys.),12,67731,0.017717145767816803
2018Q2,SRM: In Transfer to Execution Syst.,11,67731,0.01624071695383207
2018Q2,Reactivate Purchase Order Item,3,67731,0.004429286441954201
2018Q2,Change Final Invoice Indicator,2,67731,0.0029528576279694674
2018Q2,SRM: Deleted,2,67731,0.0029528576279694674
2018Q2,Cancel Subsequent Invoice,1,67731,0.0014764288139847337
2018Q2,Receive Order Confirmation,1,67731,0.0014764288139847337
2018Q2,SRM: Change was Transmitted,1,67731,0.0014764288139847337
2018Q2,SRM: Transaction Completed,1,67731,0.0014764288139847337
2018Q2,Update Order Confirmation,1,67731,0.0014764288139847337
2018Q3,Clear Invoice,48226,59929,80.47189173855729
2018Q3,Record Goods Receipt,5348,59929,8.92389327370722
2018Q3,Record Invoice Receipt,2163,59929,3.609270970648601
2018Q3,Delete Purchase Order Item,1923,59929,3.208797076540573
2018Q3,Create Purchase Order Item,776,59929,1.29486559094929
2018Q3,Remove Payment Block,716,59929,1.194747117422283
2018Q3,Record Service Entry Sheet,180,59929,0.3003554205810209
2018Q3,Change Delivery Indicator,154,59929,0.25697074871931785
2018Q3,Receive Order Confirmation,98,59929,0.16352684009411136
2018Q3,Change Approval for Purchase Order,84,59929,0.14016586293780975
2018Q3,Cancel Goods Receipt,72,59929,0.12014216823240835
2018Q3,Change Quantity,54,59929,0.09010662617430626
2018Q3,Change Price,46,59929,0.07675749637070534
2018Q3,Cancel Invoice Receipt,27,59929,0.04505331308715313
2018Q3,Change Storage Location,18,59929,0.030035542058102088
2018Q3,Cancel Subsequent Invoice,12,59929,0.02002369470540139
2018Q3,Block Purchase Order Item,9,59929,0.015017771029051044
2018Q3,SRM: Deleted,6,59929,0.010011847352700696
2018Q3,Vendor creates invoice,6,59929,0.010011847352700696
2018Q3,Record Subsequent Invoice,4,59929,0.006674564901800464
2018Q3,SRM: Change was Transmitted,4,59929,0.006674564901800464
2018Q3,Release Purchase Order,1,59929,0.001668641225450116
2018Q3,Set Payment Block,1,59929,0.001668641225450116
2018Q3,Vendor creates debit memo,1,59929,0.001668641225450116
2018Q4,Record Invoice Receipt,18592,56599,32.84863690171204
2018Q4,Clear Invoice,17164,56599,30.325624127634764
2018Q4,Record Goods Receipt,8322,56599,14.703439990105831
2018Q4,Remove Payment Block,4582,56599,8.095549391332002
2018Q4,Create Purchase Order Item,3424,56599,6.049576847647485
2018Q4,Delete Purchase Order Item,1711,56599,3.023021608155621
2018Q4,Change Approval for Purchase Order,814,56599,1.4381879538507747
2018Q4,Record Service Entry Sheet,450,56599,0.7950670506546053
2018Q4,Change Price,379,56599,0.6696231382179897
2018Q4,Change Quantity,374,56599,0.660789059877383
2018Q4,Cancel Goods Receipt,287,56599,0.507076096750826
2018Q4,Change Delivery Indicator,170,56599,0.3003586635806286
2018Q4,Receive Order Confirmation,129,56599,0.22791922118765348
2018Q4,Cancel Invoice Receipt,60,56599,0.10600894008728069
2018Q4,Vendor creates invoice,56,56599,0.09894167741479531
2018Q4,SRM: Change was Transmitted,38,56599,0.06713899538861111
2018Q4,Block Purchase Order Item,20,56599,0.035336313362426895
2018Q4,Cancel Subsequent Invoice,9,56599,0.015901341013092103
2018Q4,Record Subsequent Invoice,5,56599,0.008834078340606724
2018Q4,Change Storage Location,2,56599,0.0035336313362426897
2018Q4,SRM: In Transfer to Execution Syst.,2,56599,0.0035336313362426897
2018Q4,SRM: Transaction Completed,2,56599,0.0035336313362426897
2018Q4,Update Order Confirmation,2,56599,0.0035336313362426897
2018Q4,Change payment term,1,56599,0.0017668156681213448
2018Q4,Reactivate Purchase Order Item,1,56599,0.0017668156681213448
2018Q4,SRM: Deleted,1,56599,0.0017668156681213448
2018Q4,Set Payment Block,1,56599,0.0017668156681213448
2018Q4,Vendor creates debit memo,1,56599,0.0017668156681213448
