transition,h1_count,q3_count,h1_mean_capped_hours,q3_mean_capped_hours,h1_median_capped_hours,q3_median_capped_hours,h1_p95_capped_hours,q3_p95_capped_hours,median_shift_hours,wasserstein_capped_hours,h1_total_capped_gap_hours,q3_total_capped_gap_hours,combined_capped_gap_hours,q3_to_h1_mean_ratio
Record Invoice Receipt -> Clear Invoice,66874,42539,1198.8782606095047,992.0328318327494,1079.8166666666666,718.4166666666666,2543.35,2538.95,-361.4,217.037455,80173784.80000001,42200084.633333325,122373869.43333334,0.8274675289619515
Record Goods Receipt -> Record Invoice Receipt,57690,27550,507.5394756456925,492.4227114337568,218.05,386.4,2207.710833333333,1422.0925,168.34999999999997,141.743575,29279952.35,13566245.7,42846198.05,0.9702155892549951
Remove Payment Block -> Clear Invoice,22126,14471,1161.2502749404923,812.5147444313916,1035.9916666666668,550.7166666666667,2597.05,2518.483333333333,-485.2750000000001,347.95774646402,25693823.583333332,11757900.866666667,37451724.45,0.699689603494844
Create Purchase Order Item -> Vendor creates invoice,59977,23831,309.25727751193506,279.7544661715133,175.43333333333334,135.78333333333333,1111.8666666666666,1040.6333333333334,-39.650000000000006,31.208595000000006,18548323.73333333,6666828.683333334,25215152.416666664,0.9046010765606537
Vendor creates invoice -> Record Invoice Receipt,49229,24342,289.22483766343686,314.48101908909155,85.51666666666667,135.43333333333334,1377.6433333333332,1167.3166666666666,49.91666666666667,75.31001833333333,14238249.533333333,7655096.966666666,21893346.5,1.087323694706485
Create Purchase Order Item -> Record Goods Receipt,40773,18654,365.72820534831055,371.6900423501662,311.18333333333334,295.5,1051.5000000000007,1106.1891666666668,-15.683333333333337,22.98019113416247,14911836.116666667,6933506.050000001,21845342.166666668,1.0163012776008833
Record Invoice Receipt -> Remove Payment Block,13764,13063,434.19092681391066,615.1593419071678,162.63333333333333,241.51666666666668,1924.7133333333215,2059.55,78.88333333333335,188.10678652377106,5976203.916666666,8035826.483333332,14012030.399999999,1.4167945572267062
Record Goods Receipt -> Vendor creates invoice,39606,21936,78.72326078540289,88.03128950887431,15.383333333333333,15.058333333333334,328.2,442.1333333333333,-0.3249999999999993,11.152712499999998,3117913.466666667,1931054.3666666667,5048967.833333334,1.118237337104783
Vendor creates invoice -> Record Goods Receipt,56714,27222,58.8145831129292,59.933783949256735,34.46666666666667,34.65833333333333,157.63333333333333,159.93333333333334,0.19166666666666288,2.893508333333335,3335610.2666666666,1631517.4666666668,4967127.733333333,1.0190293083295103
Create Purchase Order Item -> Change Quantity,6068,3164,317.87559327620306,578.9889643910661,143.55,280.46666666666664,1276.453333333333,2308.369166666667,136.91666666666663,261.1134359163363,1928869.1,1831921.0833333333,3760790.1833333336,1.8214325875846054
Clear Invoice -> Cancel Invoice Receipt,929,842,2124.370111230714,1709.4239509105307,2820.366666666667,2033.5,2880.0,2880.0,-786.8666666666668,414.94616032018354,1973539.8333333335,1439334.9666666668,3412874.8000000003,0.8046733202813742
