transition,h1_observations,h1_frequency_share,valid_block_count,valid_block_min_count,valid_block_max_count,epsilon_median_hours,epsilon_q75_hours,epsilon_q90_hours,epsilon_max_hours,delay_cap_hours,grid_step_hours,candidate_h1_only,calibration_role
Cancel Invoice Receipt -> Clear Invoice,1073,0.001626183833035023,11,33,227,109.46068042964595,139.10792352063905,212.4794630837734,243.9172738945842,2160,24,True,primary
Change Approval for Purchase Order -> Change Approval for Purchase Order,606,0.0009184225562154928,9,20,115,163.5889438943894,315.30471122112215,410.08195941601207,485.6806999449944,2160,24,True,primary
Change Price -> Change Quantity,596,0.0009032670684891646,11,21,139,188.97831824321474,240.54012532251403,277.1537126595605,364.0436038417588,2160,24,True,primary
Change Price -> Record Goods Receipt,1271,0.0019262624900163224,13,39,159,78.30952154528556,95.1287695256855,108.42857078716206,155.6308242422819,2160,24,True,primary
Change Price -> Remove Payment Block,1001,0.0015170643214054594,10,45,162,15.094041792826523,22.03933729089252,43.873645021645004,49.48737928737929,2160,24,True,primary
Change Price -> Vendor creates invoice,2108,0.003194776812709998,13,93,295,48.67273455618809,64.05136141509188,72.31663020256588,147.42614783664112,2160,24,True,primary
Change Quantity -> Change Delivery Indicator,511,0.0007744454228153743,11,26,64,45.86933219178086,53.938423619759284,54.79230983405729,134.86924183122815,2160,24,True,primary
Change Quantity -> Change Quantity,1181,0.0017898631004793681,13,40,130,38.46076789190674,44.76256719395478,57.3026113057588,188.4283783107081,2160,24,True,primary
Change Quantity -> Record Goods Receipt,4299,0.006515344173548521,13,82,417,37.56882243255187,48.550007978345775,84.82925663306277,148.94382187576235,2160,24,True,primary
Change Quantity -> Vendor creates invoice,3150,0.004773978633793403,13,87,329,58.912938099920396,94.06394943252955,138.83326819831157,261.81287413512416,2160,24,True,primary
Clear Invoice -> Clear Invoice,954,0.0014458335290917165,10,26,150,106.6681493176476,191.2274955652314,243.63475542664423,278.034374064091,2160,24,True,primary
Clear Invoice -> Record Invoice Receipt,1562,0.002367287182852475,11,26,275,223.61094152795567,545.3975666429362,618.3516813982625,699.7044477822647,2160,24,True,primary
Clear Invoice -> Vendor creates invoice,518,0.0007850542642238042,10,20,100,74.49697646376747,91.35180732243232,103.75684975297878,108.69793768422804,2160,24,True,primary
Create Purchase Order Item -> Cancel Goods Receipt,640,0.000969951214485009,9,22,212,132.9491666666667,240.5291382575757,320.9791467139503,558.4543309294871,2160,24,True,primary
Create Purchase Order Item -> Change Approval for Purchase Order,1447,0.0021929990739996998,12,33,284,26.485938440896078,30.475032178645478,39.71076252252803,110.54738302834079,2160,24,True,primary
Create Purchase Order Item -> Change Price,3326,0.005040715217776781,13,190,460,78.27637648236748,93.36494604872803,147.64950902032788,168.27489916171743,2160,24,True,primary
Create Purchase Order Item -> Change Quantity,6068,0.00919634995233599,13,354,590,51.345019079511104,60.037065477908094,86.35319524849585,128.2532337149397,2160,24,True,primary
Create Purchase Order Item -> Delete Purchase Order Item,3916,0.005934888993630149,13,198,511,52.23313785257608,75.43234996326362,91.01370306195554,103.01153104074453,2160,24,True,primary
Create Purchase Order Item -> Receive Order Confirmation,14575,0.022089123361123446,13,653,1506,5.833702560289083,7.653942923169941,11.139614503556183,45.538037236767096,2160,24,True,primary
Create Purchase Order Item -> Record Goods Receipt,40773,0.06179347010655824,13,2696,3757,24.46793756068117,33.76606485684921,35.68772959829524,52.92564390263938,2160,24,True,primary
Create Purchase Order Item -> Record Invoice Receipt,532,0.0008062719470406637,10,20,115,107.82441530273256,125.0865679824561,188.8969730639366,363.846002874834,2160,24,True,primary
