transition,h1_observations,h1_frequency_share,valid_block_count,valid_block_min_count,valid_block_max_count,epsilon_median_hours,epsilon_q75_hours,epsilon_q90_hours,epsilon_max_hours,delay_cap_hours,grid_step_hours,candidate_h1_only,phase2b_diagnostic_candidate,h1_mean_capped_elapsed_hours,h1_empirical_cvar95_hours,h1_grid_empirical_cvar95_hours,h1_dro_worst_case_cvar95_hours,epsilon_primary_hours,epsilon0_dro_cvar95_hours,epsilon0_grid_cvar95_hours,epsilon0_abs_difference_hours,frequency_score,mean_burden_score,tail_score,dro_score
Record Invoice Receipt -> Clear Invoice,66874,0.1013508086210476,13,665,8683,95.96524762687292,120.64979378298948,154.38632903592372,201.5728632857884,2160,24,True,True,1156.6791406226637,2160.0,2160.0,2160.0,154.38632903592372,2160.0,2160.0,0.0,0.1013508086210476,117.2303662172054,218.91774662146287,218.91774662146287
Create Purchase Order Item -> Vendor creates invoice,59977,0.090898068736199,13,3429,5921,26.955368928601654,42.46322752569807,56.64266633175524,74.3865938041537,2160,24,True,True,304.07566456030366,1608.045763098076,1605.9284058889236,2160.0,56.64266633175524,1605.9284058889273,1605.9284058889236,3.637978807091713e-12,0.090898068736199,27.63989065820788,146.16825430504252,196.3398284701899
Record Goods Receipt -> Record Invoice Receipt,57690,0.0874320086931877,13,1032,5623,98.86942462454996,135.9984568135467,153.99422161399926,216.3877529692919,2160,24,True,True,476.8193057722309,2160.0,2160.0,2160.0,153.99422161399926,2160.0,2160.0,0.0,0.0874320086931877,41.689269687357445,188.8531387772856,188.8531387772856
Vendor creates invoice -> Record Invoice Receipt,49229,0.0746089505279414,13,660,5143,68.99391843469004,106.8394813719868,131.40332856009834,184.3879026405353,2160,24,True,True,283.08027517655586,1827.8212127675415,1827.5242641532425,2160.0,131.40332856009834,1827.5242641532343,1827.5242641532425,7.958078640513122e-12,0.0746089505279414,21.1203222460837,136.3718224372954,161.15533314035346
Create Purchase Order Item -> Record Goods Receipt,40773,0.0617934701065582,13,2696,3757,24.46793756068117,33.76606485684921,35.68772959829524,52.92564390263938,2160,24,True,True,363.9011110293577,1425.166770493545,1426.091972628945,2139.846564594843,35.68772959829524,1426.09197262894,1426.091972628945,5.4569682106375694e-12,0.0617934701065582,22.48671242613594,88.06600022935302,132.22854472191278
Record Goods Receipt -> Vendor creates invoice,39606,0.0600248246888957,13,592,3942,17.62520610585298,23.197834129134947,33.152149910746864,50.54663985015924,2160,24,True,True,78.41596138632192,579.553551650423,578.133010149977,1241.1760083649183,33.152149910746864,578.1330101499706,578.133010149977,6.480149750132114e-12,0.0600248246888957,4.70690433502519,34.78760033564351,74.5013723101676
Remove Payment Block -> Clear Invoice,22126,0.0335330321432739,13,268,2791,151.52523012978807,181.87785406923643,228.2619917382968,254.1530984910933,2160,24,True,True,1099.2185468076775,2160.0,2160.0,2160.0,228.2619917382968,2160.0,2160.0,0.0,0.0335330321432739,36.8601308625847,72.43134942947167,72.43134942947167
Record Invoice Receipt -> Remove Payment Block,13764,0.0208600133065182,13,77,1738,80.13887756786659,104.63038355023708,504.7194124151218,668.1221984762308,2160,24,True,True,411.5866656979561,2145.654320449482,2145.353095030514,2160.0,504.7194124151218,2145.3530950305158,2145.353095030514,1.3642420526593924e-12,0.0208600133065182,8.58570332324483,44.758377675764514,45.057628742079366
Vendor creates invoice -> Record Goods Receipt,56714,0.0859528330910981,13,1319,5212,5.883993259074938,9.308684053628715,10.121951103156832,11.299242545019842,2160,24,True,True,58.72470289522869,306.31162558333614,307.3941531191592,509.8331751823232,10.121951103156832,307.3941531191844,307.3941531191592,2.523847797419876e-11,0.0859528330910981,5.047554586277918,26.32835202762743,43.82160581075082
Record Goods Receipt -> Remove Payment Block,9585,0.0145265349856856,13,265,1214,20.2032152778861,26.578437515378788,37.51854220587054,43.68792478310408,2160,24,True,True,62.88535037384802,910.9240653799334,912.2879499217522,1662.6587940391505,37.51854220587054,912.287949921736,912.2879499217522,1.6257217794191092e-11,0.0145265349856856,0.9135062422928028,13.232570305044597,24.152671140867614
