method,K,rank,transition,score,h1_frequency_share,h1_mean_capped_elapsed_hours,h1_empirical_cvar95_hours,h1_dro_worst_case_cvar95_hours
Frequency,3,1,Record Service Entry Sheet -> Record Service Entry Sheet,0.1150498539768757,0.1150498539768757,0.0469379421179508,0.9387588423590154,2.075421084836352
Frequency,3,2,Record Invoice Receipt -> Clear Invoice,0.1013508086210476,0.1013508086210476,1156.6791406226637,2160.0,2160.0
Frequency,3,3,Create Purchase Order Item -> Vendor creates invoice,0.090898068736199,0.090898068736199,304.07566456030366,1608.045763098076,2160.0
Frequency,5,1,Record Service Entry Sheet -> Record Service Entry Sheet,0.1150498539768757,0.1150498539768757,0.0469379421179508,0.9387588423590154,2.075421084836352
Frequency,5,2,Record Invoice Receipt -> Clear Invoice,0.1013508086210476,0.1013508086210476,1156.6791406226637,2160.0,2160.0
Frequency,5,3,Create Purchase Order Item -> Vendor creates invoice,0.090898068736199,0.090898068736199,304.07566456030366,1608.045763098076,2160.0
Frequency,5,4,Record Goods Receipt -> Record Invoice Receipt,0.0874320086931877,0.0874320086931877,476.8193057722309,2160.0,2160.0
Frequency,5,5,Vendor creates invoice -> Record Goods Receipt,0.0859528330910981,0.0859528330910981,58.72470289522869,306.31162558333614,509.8331751823232
Frequency,10,1,Record Service Entry Sheet -> Record Service Entry Sheet,0.1150498539768757,0.1150498539768757,0.0469379421179508,0.9387588423590154,2.075421084836352
Frequency,10,2,Record Invoice Receipt -> Clear Invoice,0.1013508086210476,0.1013508086210476,1156.6791406226637,2160.0,2160.0
Frequency,10,3,Create Purchase Order Item -> Vendor creates invoice,0.090898068736199,0.090898068736199,304.07566456030366,1608.045763098076,2160.0
Frequency,10,4,Record Goods Receipt -> Record Invoice Receipt,0.0874320086931877,0.0874320086931877,476.8193057722309,2160.0,2160.0
Frequency,10,5,Vendor creates invoice -> Record Goods Receipt,0.0859528330910981,0.0859528330910981,58.72470289522869,306.31162558333614,509.8331751823232
Frequency,10,6,Vendor creates invoice -> Record Invoice Receipt,0.0746089505279414,0.0746089505279414,283.08027517655586,1827.8212127675415,2160.0
Frequency,10,7,Create Purchase Order Item -> Record Goods Receipt,0.0617934701065582,0.0617934701065582,363.9011110293577,1425.166770493545,2139.846564594843
Frequency,10,8,Record Goods Receipt -> Vendor creates invoice,0.0600248246888957,0.0600248246888957,78.41596138632192,579.553551650423,1241.1760083649183
Frequency,10,9,Record Goods Receipt -> Record Goods Receipt,0.0390875183949732,0.0390875183949732,6.22891577165161,123.46643596603457,202.4313969270723
Frequency,10,10,Remove Payment Block -> Clear Invoice,0.0335330321432739,0.0335330321432739,1099.2185468076775,2160.0,2160.0
Mean burden,3,1,Record Invoice Receipt -> Clear Invoice,117.2303662172054,0.1013508086210476,1156.6791406226637,2160.0,2160.0
Mean burden,3,2,Record Goods Receipt -> Record Invoice Receipt,41.689269687357445,0.0874320086931877,476.8193057722309,2160.0,2160.0
Mean burden,3,3,Remove Payment Block -> Clear Invoice,36.8601308625847,0.0335330321432739,1099.2185468076775,2160.0,2160.0
Mean burden,5,1,Record Invoice Receipt -> Clear Invoice,117.2303662172054,0.1013508086210476,1156.6791406226637,2160.0,2160.0
Mean burden,5,2,Record Goods Receipt -> Record Invoice Receipt,41.689269687357445,0.0874320086931877,476.8193057722309,2160.0,2160.0
Mean burden,5,3,Remove Payment Block -> Clear Invoice,36.8601308625847,0.0335330321432739,1099.2185468076775,2160.0,2160.0
Mean burden,5,4,Create Purchase Order Item -> Vendor creates invoice,27.63989065820788,0.090898068736199,304.07566456030366,1608.045763098076,2160.0
Mean burden,5,5,Create Purchase Order Item -> Record Goods Receipt,22.48671242613594,0.0617934701065582,363.9011110293577,1425.166770493545,2139.846564594843
Mean burden,10,1,Record Invoice Receipt -> Clear Invoice,117.2303662172054,0.1013508086210476,1156.6791406226637,2160.0,2160.0
Mean burden,10,2,Record Goods Receipt -> Record Invoice Receipt,41.689269687357445,0.0874320086931877,476.8193057722309,2160.0,2160.0
Mean burden,10,3,Remove Payment Block -> Clear Invoice,36.8601308625847,0.0335330321432739,1099.2185468076775,2160.0,2160.0
Mean burden,10,4,Create Purchase Order Item -> Vendor creates invoice,27.63989065820788,0.090898068736199,304.07566456030366,1608.045763098076,2160.0
Mean burden,10,5,Create Purchase Order Item -> Record Goods Receipt,22.48671242613594,0.0617934701065582,363.9011110293577,1425.166770493545,2139.846564594843
Mean burden,10,6,Vendor creates invoice -> Record Invoice Receipt,21.1203222460837,0.0746089505279414,283.08027517655586,1827.8212127675415,2160.0
Mean burden,10,7,Record Invoice Receipt -> Remove Payment Block,8.58570332324483,0.0208600133065182,411.5866656979561,2145.654320449482,2160.0
Mean burden,10,8,Vendor creates invoice -> Record Goods Receipt,5.047554586277918,0.0859528330910981,58.72470289522869,306.31162558333614,509.8331751823232
Mean burden,10,9,Record Goods Receipt -> Vendor creates invoice,4.70690433502519,0.0600248246888957,78.41596138632192,579.553551650423,1241.1760083649183
Mean burden,10,10,Create Purchase Order Item -> Change Quantity,2.886414696579558,0.0091963499523359,313.8652521423863,1667.5072072072066,2160.0
Tail baseline,3,1,Record Invoice Receipt -> Clear Invoice,218.91774662146287,0.1013508086210476,1156.6791406226637,2160.0,2160.0
Tail baseline,3,2,Record Goods Receipt -> Record Invoice Receipt,188.8531387772856,0.0874320086931877,476.8193057722309,2160.0,2160.0
Tail baseline,3,3,Create Purchase Order Item -> Vendor creates invoice,146.16825430504252,0.090898068736199,304.07566456030366,1608.045763098076,2160.0
Tail baseline,5,1,Record Invoice Receipt -> Clear Invoice,218.91774662146287,0.1013508086210476,1156.6791406226637,2160.0,2160.0
Tail baseline,5,2,Record Goods Receipt -> Record Invoice Receipt,188.8531387772856,0.0874320086931877,476.8193057722309,2160.0,2160.0
Tail baseline,5,3,Create Purchase Order Item -> Vendor creates invoice,146.16825430504252,0.090898068736199,304.07566456030366,1608.045763098076,2160.0
Tail baseline,5,4,Vendor creates invoice -> Record Invoice Receipt,136.3718224372954,0.0746089505279414,283.08027517655586,1827.8212127675415,2160.0
Tail baseline,5,5,Create Purchase Order Item -> Record Goods Receipt,88.06600022935302,0.0617934701065582,363.9011110293577,1425.166770493545,2139.846564594843
Tail baseline,10,1,Record Invoice Receipt -> Clear Invoice,218.91774662146287,0.1013508086210476,1156.6791406226637,2160.0,2160.0
Tail baseline,10,2,Record Goods Receipt -> Record Invoice Receipt,188.8531387772856,0.0874320086931877,476.8193057722309,2160.0,2160.0
Tail baseline,10,3,Create Purchase Order Item -> Vendor creates invoice,146.16825430504252,0.090898068736199,304.07566456030366,1608.045763098076,2160.0
Tail baseline,10,4,Vendor creates invoice -> Record Invoice Receipt,136.3718224372954,0.0746089505279414,283.08027517655586,1827.8212127675415,2160.0
Tail baseline,10,5,Create Purchase Order Item -> Record Goods Receipt,88.06600022935302,0.0617934701065582,363.9011110293577,1425.166770493545,2139.846564594843
Tail baseline,10,6,Remove Payment Block -> Clear Invoice,72.43134942947167,0.0335330321432739,1099.2185468076775,2160.0,2160.0
Tail baseline,10,7,Record Invoice Receipt -> Remove Payment Block,44.758377675764514,0.0208600133065182,411.5866656979561,2145.654320449482,2160.0
Tail baseline,10,8,Record Goods Receipt -> Vendor creates invoice,34.78760033564351,0.0600248246888957,78.41596138632192,579.553551650423,1241.1760083649183
Tail baseline,10,9,Vendor creates invoice -> Record Goods Receipt,26.32835202762743,0.0859528330910981,58.72470289522869,306.31162558333614,509.8331751823232
