method,K,delay_cap_days,alpha,q3_observations,q3_transition_universe,q3_captured_mean_burden_share_pct,q3_captured_tail_burden_share_pct,q3_mean_oracle_share_pct,q3_tail_oracle_share_pct,q3_mean_burden_regret_pp,q3_tail_burden_regret_pp,jaccard_vs_q3_mean_oracle,jaccard_vs_q3_tail_oracle,spearman_h1_vs_q3_mean_burden,kendall_h1_vs_q3_mean_burden,ranking_n,ranking_defined,selected_transitions,q3_mean_oracle_transitions,q3_tail_oracle_transitions
Frequency,3,90,0.95,352478,378,42.17316430389853,31.625640453221923,58.24649067673688,44.759997790210456,16.073326372838363,13.134357336988534,0.2,0.2,0.5861936538580748,0.44182476331642306,63,True,Record Service Entry Sheet -> Record Service Entry Sheet || Record Invoice Receipt -> Clear Invoice || Create Purchase Order Item -> Vendor creates invoice,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Remove Payment Block -> Clear Invoice,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt
Frequency,5,90,0.95,352478,378,55.54784231924865,46.36337755581126,71.97394484436042,61.349230519217805,16.426102525111766,14.985852963406545,0.25,0.42857142857142855,0.5861936538580748,0.44182476331642306,63,True,Record Service Entry Sheet -> Record Service Entry Sheet || Record Invoice Receipt -> Clear Invoice || Create Purchase Order Item -> Vendor creates invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Goods Receipt,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Remove Payment Block -> Clear Invoice || Record Invoice Receipt -> Remove Payment Block || Vendor creates invoice -> Record Invoice Receipt,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Remove Payment Block -> Clear Invoice
Frequency,10,90,0.95,352478,378,80.26231432220398,75.04942562883748,88.6891776640045,83.32495749460436,8.426863341800505,8.275531865766874,0.6666666666666666,0.6666666666666666,0.5861936538580748,0.44182476331642306,63,True,Record Service Entry Sheet -> Record Service Entry Sheet || Record Invoice Receipt -> Clear Invoice || Create Purchase Order Item -> Vendor creates invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Goods Receipt || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Record Goods Receipt || Record Goods Receipt -> Vendor creates invoice || Record Goods Receipt -> Record Goods Receipt || Remove Payment Block -> Clear Invoice,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Remove Payment Block -> Clear Invoice || Record Invoice Receipt -> Remove Payment Block || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Record Goods Receipt || Create Purchase Order Item -> Vendor creates invoice || Record Goods Receipt -> Vendor creates invoice || Create Purchase Order Item -> Change Quantity || Vendor creates invoice -> Record Goods Receipt,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Remove Payment Block -> Clear Invoice || Create Purchase Order Item -> Record Goods Receipt || Record Invoice Receipt -> Remove Payment Block || Record Goods Receipt -> Vendor creates invoice || Vendor creates invoice -> Record Goods Receipt || Create Purchase Order Item -> Change Quantity
Mean burden,3,90,0.95,352478,378,58.24649067673688,43.05210903725868,58.24649067673688,44.759997790210456,0.0,1.7078887529517786,1.0,0.5,0.9579482994503515,0.8606557377049179,63,True,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Remove Payment Block -> Clear Invoice,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Remove Payment Block -> Clear Invoice,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt
Mean burden,5,90,0.95,352478,378,70.22937297495226,59.234675061330854,71.97394484436042,61.349230519217805,1.7445718694081596,2.1145554578869485,0.42857142857142855,0.6666666666666666,0.9579482994503515,0.8606557377049179,63,True,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Remove Payment Block -> Clear Invoice || Create Purchase Order Item -> Vendor creates invoice || Create Purchase Order Item -> Record Goods Receipt,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Remove Payment Block -> Clear Invoice || Record Invoice Receipt -> Remove Payment Block || Vendor creates invoice -> Record Invoice Receipt,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Remove Payment Block -> Clear Invoice
Mean burden,10,90,0.95,352478,378,88.6891776640045,83.32495749460436,88.6891776640045,83.32495749460436,0.0,0.0,1.0,1.0,0.9579482994503515,0.8606557377049179,63,True,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Remove Payment Block -> Clear Invoice || Create Purchase Order Item -> Vendor creates invoice || Create Purchase Order Item -> Record Goods Receipt || Vendor creates invoice -> Record Invoice Receipt || Record Invoice Receipt -> Remove Payment Block || Vendor creates invoice -> Record Goods Receipt || Record Goods Receipt -> Vendor creates invoice || Create Purchase Order Item -> Change Quantity,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Remove Payment Block -> Clear Invoice || Record Invoice Receipt -> Remove Payment Block || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Record Goods Receipt || Create Purchase Order Item -> Vendor creates invoice || Record Goods Receipt -> Vendor creates invoice || Create Purchase Order Item -> Change Quantity || Vendor creates invoice -> Record Goods Receipt,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Remove Payment Block -> Clear Invoice || Create Purchase Order Item -> Record Goods Receipt || Record Invoice Receipt -> Remove Payment Block || Record Goods Receipt -> Vendor creates invoice || Vendor creates invoice -> Record Goods Receipt || Create Purchase Order Item -> Change Quantity
Tail baseline,3,90,0.95,352478,378,54.096116754906184,44.13706180873947,58.24649067673688,44.759997790210456,4.150373921830698,0.6229359814709959,0.5,0.5,0.9364424069318099,0.8104508196721311,63,True,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Remove Payment Block -> Clear Invoice,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt
Tail baseline,5,90,0.95,352478,378,66.97169880312298,60.942563814282636,71.97394484436042,61.349230519217805,5.0022460412374326,0.40666670493517487,0.42857142857142855,0.6666666666666666,0.9364424069318099,0.8104508196721311,63,True,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Record Goods Receipt,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Remove Payment Block -> Clear Invoice || Record Invoice Receipt -> Remove Payment Block || Vendor creates invoice -> Record Invoice Receipt,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Remove Payment Block -> Clear Invoice
Tail baseline,10,90,0.95,352478,378,88.6891776640045,83.32495749460436,88.6891776640045,83.32495749460436,0.0,0.0,1.0,1.0,0.9364424069318099,0.8104508196721311,63,True,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Record Goods Receipt || Remove Payment Block -> Clear Invoice || Record Invoice Receipt -> Remove Payment Block || Record Goods Receipt -> Vendor creates invoice || Vendor creates invoice -> Record Goods Receipt || Create Purchase Order Item -> Change Quantity,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Remove Payment Block -> Clear Invoice || Record Invoice Receipt -> Remove Payment Block || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Record Goods Receipt || Create Purchase Order Item -> Vendor creates invoice || Record Goods Receipt -> Vendor creates invoice || Create Purchase Order Item -> Change Quantity || Vendor creates invoice -> Record Goods Receipt,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Remove Payment Block -> Clear Invoice || Create Purchase Order Item -> Record Goods Receipt || Record Invoice Receipt -> Remove Payment Block || Record Goods Receipt -> Vendor creates invoice || Vendor creates invoice -> Record Goods Receipt || Create Purchase Order Item -> Change Quantity
DRO,3,90,0.95,352478,378,54.096116754906184,44.13706180873947,58.24649067673688,44.759997790210456,4.150373921830698,0.6229359814709959,0.5,0.5,0.9099309931648379,0.7630028433885959,63,True,Record Invoice Receipt -> Clear Invoice || Create Purchase Order Item -> Vendor creates invoice || Record Goods Receipt -> Record Invoice Receipt,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Remove Payment Block -> Clear Invoice,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt
