row_type,method,K,transition,full_h1_selected,inclusion_probability,mean_jaccard_vs_full_h1,jaccard_p05,jaccard_p95,transitions_inclusion_probability_ge_0_8,replicates,seed
summary,Frequency,3,__SUMMARY__,,,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Record Invoice Receipt -> Clear Invoice,True,0.996,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Create Purchase Order Item -> Vendor creates invoice,True,0.772,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Record Goods Receipt -> Record Invoice Receipt,False,0.23,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Vendor creates invoice -> Record Invoice Receipt,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Create Purchase Order Item -> Record Goods Receipt,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Record Goods Receipt -> Vendor creates invoice,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Remove Payment Block -> Clear Invoice,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Record Invoice Receipt -> Remove Payment Block,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Vendor creates invoice -> Record Goods Receipt,False,0.002,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Record Goods Receipt -> Remove Payment Block,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Receive Order Confirmation -> Record Goods Receipt,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Create Purchase Order Item -> Change Quantity,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Change Quantity -> Record Goods Receipt,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Record Invoice Receipt -> Record Goods Receipt,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Create Purchase Order Item -> Delete Purchase Order Item,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Receive Order Confirmation -> Vendor creates invoice,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Create Purchase Order Item -> Change Price,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Change Quantity -> Vendor creates invoice,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Create Purchase Order Item -> Receive Order Confirmation,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Record Goods Receipt -> Record Goods Receipt,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Record Invoice Receipt -> Record Invoice Receipt,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Change Price -> Vendor creates invoice,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Vendor creates invoice -> Create Purchase Order Item,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Record Invoice Receipt -> Vendor creates invoice,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Clear Invoice -> Record Invoice Receipt,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Record Service Entry Sheet -> Vendor creates invoice,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Vendor creates invoice -> Change Quantity,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Change Price -> Record Goods Receipt,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Record Invoice Receipt -> Cancel Invoice Receipt,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Change Quantity -> Change Quantity,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Record Invoice Receipt -> Change Price,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Cancel Invoice Receipt -> Clear Invoice,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Clear Invoice -> Clear Invoice,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Vendor creates invoice -> Vendor creates invoice,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Vendor creates invoice -> Clear Invoice,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Create Purchase Requisition Item -> Create Purchase Order Item,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Create Purchase Order Item -> Vendor creates debit memo,False,0.0,0.884,0.5,1.0,2,500,20260914
transition,Frequency,3,Create Purchase Order Item -> Change Approval for Purchase Order,False,0.0,0.884,0.5,1.0,2,500,20260914
