configuration,epsilon_multiplier,K,delay_cap_days,alpha,q3_captured_mean_burden_share_pct,q3_captured_tail_burden_share_pct,q3_mean_burden_regret_pp,selected_transitions
cap90_alpha95_step24,0.0,3,90,0.95,54.096116754906184,44.13706180873947,4.150373921830698,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice
cap90_alpha95_step24,0.0,5,90,0.95,66.97169880312298,60.942563814282636,5.0022460412374326,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Record Goods Receipt
cap90_alpha95_step24,0.0,10,90,0.95,88.6891776640045,83.32495749460436,0.0,Record Invoice Receipt -> Clear Invoice || Record Goods Receipt -> Record Invoice Receipt || Create Purchase Order Item -> Vendor creates invoice || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Record Goods Receipt || Remove Payment Block -> Clear Invoice || Record Invoice Receipt -> Remove Payment Block || Record Goods Receipt -> Vendor creates invoice || Vendor creates invoice -> Record Goods Receipt || Create Purchase Order Item -> Change Quantity
cap90_alpha95_step24,0.5,3,90,0.95,54.096116754906184,44.13706180873947,4.150373921830698,Record Invoice Receipt -> Clear Invoice || Create Purchase Order Item -> Vendor creates invoice || Record Goods Receipt -> Record Invoice Receipt
cap90_alpha95_step24,0.5,5,90,0.95,66.97169880312298,60.942563814282636,5.0022460412374326,Record Invoice Receipt -> Clear Invoice || Create Purchase Order Item -> Vendor creates invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Record Goods Receipt
cap90_alpha95_step24,0.5,10,90,0.95,88.6891776640045,83.32495749460436,0.0,Record Invoice Receipt -> Clear Invoice || Create Purchase Order Item -> Vendor creates invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Record Goods Receipt || Remove Payment Block -> Clear Invoice || Record Goods Receipt -> Vendor creates invoice || Record Invoice Receipt -> Remove Payment Block || Vendor creates invoice -> Record Goods Receipt || Create Purchase Order Item -> Change Quantity
cap90_alpha95_step24,1.0,3,90,0.95,54.096116754906184,44.13706180873947,4.150373921830698,Record Invoice Receipt -> Clear Invoice || Create Purchase Order Item -> Vendor creates invoice || Record Goods Receipt -> Record Invoice Receipt
cap90_alpha95_step24,1.0,5,90,0.95,66.97169880312298,60.942563814282636,5.0022460412374326,Record Invoice Receipt -> Clear Invoice || Create Purchase Order Item -> Vendor creates invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Record Goods Receipt
cap90_alpha95_step24,1.0,10,90,0.95,87.43131746712743,82.6434250672058,1.2578601968770724,Record Invoice Receipt -> Clear Invoice || Create Purchase Order Item -> Vendor creates invoice || Record Goods Receipt -> Record Invoice Receipt || Vendor creates invoice -> Record Invoice Receipt || Create Purchase Order Item -> Record Goods Receipt || Record Goods Receipt -> Vendor creates invoice || Remove Payment Block -> Clear Invoice || Record Invoice Receipt -> Remove Payment Block || Vendor creates invoice -> Record Goods Receipt || Record Goods Receipt -> Remove Payment Block
cap90_alpha95_step24,1.5,3,90,0.95,54.096116754906184,44.13706180873947,4.150373921830698,Record Invoice Receipt -> Clear Invoice || Create Purchase Order Item -> Vendor creates invoice || Record Goods Receipt -> Record Invoice Receipt
