transition,observations,m_cap,empirical_cvar95,epsilon_primary,epsilon_sat,saturation_ratio,empirical_saturation,dro_induced_saturation,unsaturated,observed_phase3_dro_cvar,predicted_saturated,observed_saturated,total_saturated_under_primary_radius,delta_mass_to_cap,tail_score,mean_burden_score,dro_score,mismatch,mismatch_reason
Record Invoice Receipt -> Clear Invoice,48157,0.08499283593247088,2160.0,154.38632903592372,0.0,,True,False,False,2160.0,True,True,True,0.0,218.91774662146287,117.2303662172054,218.91774662146287,False,none
Create Purchase Order Item -> Vendor creates invoice,56331,0.0036569562052866096,1331.7011237151833,56.64266633175524,41.41494381424089,1.3676866636790694,False,True,False,2160.0,True,True,True,0.046343043794713434,146.16825430504252,27.63989065820788,196.3398284701899,False,none
Record Goods Receipt -> Record Invoice Receipt,47771,0.006363693454187687,1477.6727303175562,153.99422161399926,34.1163634841222,4.513793554980394,False,True,False,2160.0,True,True,True,0.04363630654581236,188.8531387772856,41.689269687357445,188.8531387772856,False,none
Vendor creates invoice -> Record Invoice Receipt,43981,0.0034333007435028763,1447.0612309861071,131.40332856009834,35.64693845069464,3.6862444370040346,False,True,False,2160.0,True,True,True,0.04656669925649717,136.3718224372954,21.1203222460837,161.15533314035346,False,none
Create Purchase Order Item -> Record Goods Receipt,37326,0.0012055939559556341,1270.0298987301073,35.68772959829524,44.49850506349465,0.8019983940443086,False,False,True,2139.846564594843,False,False,False,0.04879440604404441,88.06600022935302,22.48671242613594,132.22854472191278,False,none
Record Goods Receipt -> Vendor creates invoice,39396,0.00027921616407757134,512.5214742613462,33.152149910746864,82.37392628693277,0.4024592659972054,False,False,True,1241.1760083649183,False,False,False,0.049720783835922475,34.78760033564351,4.70690433502519,74.5013723101676,False,none
Remove Payment Block -> Clear Invoice,15600,0.06756410256410256,2160.0,228.2619917382968,0.0,,True,False,False,2160.0,True,True,True,0.0,72.43134942947167,36.8601308625847,72.43134942947167,False,none
Record Invoice Receipt -> Remove Payment Block,12080,0.010016556291390729,1668.238410596026,504.7194124151218,24.58807947019871,20.526996141640616,False,True,False,2160.0,True,True,True,0.03998344370860932,44.758377675764514,8.58570332324483,45.057628742079366,False,none
Vendor creates invoice -> Record Goods Receipt,55366,9.030813134414623e-05,277.2453852544882,10.121951103156832,94.13773073727572,0.10752278628221534,False,False,True,509.8331751823232,False,False,False,0.049909691868655896,26.32835202762743,5.047554586277918,43.82160581075082,False,none
Record Goods Receipt -> Remove Payment Block,9500,0.0010526315789473684,713.7347368421049,37.51854220587054,72.31326315789472,0.5188334832014075,False,False,True,1662.6587940391505,False,False,False,0.04894736842105268,13.232570305044597,0.9135062422928028,24.15267114086761,False,none
