distribution,alpha,ratio_epsilon_over_epsilon_sat,epsilon,epsilon_sat,m_cap,delta_mass_to_cap,grid_points,empirical_cvar,worst_case_cvar,worst_case_cvar_over_cap,at_cap,ratio_ge_1,threshold_transition_check,specified_point_mass_at_cap
"Beta(1,1)",0.9,0.0,0.0,0.004999999999999997,0.00024999999999997247,0.09975,2001,0.95,0.95,0.95,False,False,True,0.0
"Beta(1,1)",0.9,0.25,0.0012499999999999992,0.004999999999999997,0.00024999999999997247,0.09975,2001,0.95,0.9625,0.9625,False,False,True,0.0
"Beta(1,1)",0.9,0.5,0.0024999999999999983,0.004999999999999997,0.00024999999999997247,0.09975,2001,0.95,0.975,0.975,False,False,True,0.0
"Beta(1,1)",0.9,0.75,0.0037499999999999973,0.004999999999999997,0.00024999999999997247,0.09975,2001,0.95,0.9875,0.9875,False,False,True,0.0
"Beta(1,1)",0.9,0.9,0.004499999999999997,0.004999999999999997,0.00024999999999997247,0.09975,2001,0.95,0.995,0.995,False,False,True,0.0
"Beta(1,1)",0.9,0.99,0.004949999999999997,0.004999999999999997,0.00024999999999997247,0.09975,2001,0.95,0.9995,0.9995,False,False,True,0.0
"Beta(1,1)",0.9,1.0,0.004999999999999997,0.004999999999999997,0.00024999999999997247,0.09975,2001,0.95,1.0,1.0,True,True,True,0.0
"Beta(1,1)",0.9,1.1,0.005499999999999997,0.004999999999999997,0.00024999999999997247,0.09975,2001,0.95,1.0,1.0,True,True,True,0.0
"Beta(1,1)",0.9,1.25,0.006249999999999996,0.004999999999999997,0.00024999999999997247,0.09975,2001,0.95,1.0,1.0,True,True,True,0.0
"Beta(1,1)",0.9,1.5,0.0074999999999999945,0.004999999999999997,0.00024999999999997247,0.09975,2001,0.95,1.0,1.0,True,True,True,0.0
"Beta(1,1)",0.95,0.0,0.0,0.0012500000000000026,0.00024999999999997247,0.04975000000000007,2001,0.975,0.975,0.975,False,False,True,0.0
"Beta(1,1)",0.95,0.25,0.00031250000000000066,0.0012500000000000026,0.00024999999999997247,0.04975000000000007,2001,0.975,0.98125,0.98125,False,False,True,0.0
"Beta(1,1)",0.95,0.5,0.0006250000000000013,0.0012500000000000026,0.00024999999999997247,0.04975000000000007,2001,0.975,0.9875,0.9875,False,False,True,0.0
"Beta(1,1)",0.95,0.75,0.0009375000000000019,0.0012500000000000026,0.00024999999999997247,0.04975000000000007,2001,0.975,0.99375,0.99375,False,False,True,0.0
"Beta(1,1)",0.95,0.9,0.0011250000000000023,0.0012500000000000026,0.00024999999999997247,0.04975000000000007,2001,0.975,0.9975,0.9975,False,False,True,0.0
"Beta(1,1)",0.95,0.99,0.0012375000000000025,0.0012500000000000026,0.00024999999999997247,0.04975000000000007,2001,0.975,0.99975,0.99975,False,False,True,0.0
"Beta(1,1)",0.95,1.0,0.0012500000000000026,0.0012500000000000026,0.00024999999999997247,0.04975000000000007,2001,0.975,1.0,1.0,True,True,True,0.0
"Beta(1,1)",0.95,1.1,0.001375000000000003,0.0012500000000000026,0.00024999999999997247,0.04975000000000007,2001,0.975,1.0,1.0,True,True,True,0.0
"Beta(1,1)",0.95,1.25,0.0015625000000000033,0.0012500000000000026,0.00024999999999997247,0.04975000000000007,2001,0.975,1.0,1.0,True,True,True,0.0
"Beta(1,1)",0.95,1.5,0.0018750000000000038,0.0012500000000000026,0.00024999999999997247,0.04975000000000007,2001,0.975,1.0,1.0,True,True,True,0.0
"Beta(1,1)",0.99,0.0,0.0,5.0000000000000084e-05,0.00024999999999997247,0.009750000000000036,2001,0.995,0.995,0.995,False,False,True,0.0
"Beta(1,1)",0.99,0.25,1.2500000000000021e-05,5.0000000000000084e-05,0.00024999999999997247,0.009750000000000036,2001,0.995,0.99625,0.99625,False,False,True,0.0
