transition,candidate_h1_only,phase3_h1_observations,recomputed_h1_observations,h1_observations_absolute_error,h1_observations_relative_error,h1_observations_pass,phase3_h1_frequency_share,recomputed_h1_frequency_share,h1_frequency_share_absolute_error,h1_frequency_share_relative_error,h1_frequency_share_pass,phase3_h1_mean_capped_elapsed_hours,recomputed_h1_mean_capped_elapsed_hours,h1_mean_capped_elapsed_hours_absolute_error,h1_mean_capped_elapsed_hours_relative_error,h1_mean_capped_elapsed_hours_pass,phase3_h1_empirical_cvar95_hours,recomputed_h1_empirical_cvar95_hours,h1_empirical_cvar95_hours_absolute_error,h1_empirical_cvar95_hours_relative_error,h1_empirical_cvar95_hours_pass,phase3_h1_grid_empirical_cvar95_hours,recomputed_h1_grid_empirical_cvar95_hours,h1_grid_empirical_cvar95_hours_absolute_error,h1_grid_empirical_cvar95_hours_relative_error,h1_grid_empirical_cvar95_hours_pass,phase3_epsilon_primary_hours,recomputed_epsilon_primary_hours,epsilon_primary_hours_absolute_error,epsilon_primary_hours_relative_error,epsilon_primary_hours_pass,phase3_h1_dro_worst_case_cvar95_hours,recomputed_h1_dro_worst_case_cvar95_hours,h1_dro_worst_case_cvar95_hours_absolute_error,h1_dro_worst_case_cvar95_hours_relative_error,h1_dro_worst_case_cvar95_hours_pass,phase3_mean_burden_score,recomputed_mean_burden_score,mean_burden_score_absolute_error,mean_burden_score_relative_error,mean_burden_score_pass,phase3_tail_score,recomputed_tail_score,tail_score_absolute_error,tail_score_relative_error,tail_score_pass,phase3_dro_score,recomputed_dro_score,dro_score_absolute_error,dro_score_relative_error,dro_score_pass,gate_pass
Cancel Invoice Receipt -> Clear Invoice,True,1073.0,1073.0,0.0,0.0,True,0.001626183833035,0.001626183833035023,2.2985086056692694e-17,1.413437127449169e-14,True,215.7293569431501,215.72935694315007,2.842170943040401e-14,1.3174706416008932e-16,True,1497.8534948741842,1497.8534948741842,0.0,0.0,True,1497.7968313140725,1497.7968313140723,2.2737367544323206e-13,1.5180541892570886e-16,True,212.4794630837734,212.4794630837734,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,0.3508155925719924,0.3508155925719924,0.0,0.0,True,2.4357851376194057,2.4357851376194057,0.0,0.0,True,3.5125570793556493,3.5125570793556493,0.0,0.0,True,True
Change Approval for Purchase Order -> Change Approval for Purchase Order,True,606.0,606.0,0.0,0.0,True,0.0009184225562154,0.0009184225562154928,9.280770596475918e-17,1.0105120495646096e-13,True,420.8048954895489,420.8048954895489,0.0,0.0,True,2065.872167216721,2065.872167216721,0.0,0.0,True,2067.0099009900987,2067.0099009900987,0.0,0.0,True,410.08195941601207,410.08195941601207,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,0.3864767077835048,0.38647670778350485,5.551115123125783e-17,1.4363388559590473e-16,True,1.897343596629621,1.897343596629621,0.0,0.0,True,1.9837927214254645,1.9837927214254645,0.0,0.0,True,True
Change Price -> Change Quantity,True,596.0,596.0,0.0,0.0,True,0.0009032670684891,0.0009032670684891646,6.451002926288751e-17,7.141855550074886e-14,True,341.72234340044747,341.72234340044747,0.0,0.0,True,1679.6294183445189,1679.6294183445189,0.0,0.0,True,1673.395973154362,1673.395973154362,0.0,0.0,True,277.1537126595605,277.1537126595605,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,0.3086665393605698,0.3086665393605698,0.0,0.0,True,1.5171539408562142,1.5171539408562142,0.0,0.0,True,1.951056867936596,1.9510568679365954,6.661338147750939e-16,3.4142203936863484e-16,True,True
Change Price -> Record Goods Receipt,True,1271.0,1271.0,0.0,0.0,True,0.0019262624900163,0.0019262624900163224,2.233456475320139e-17,1.1594767000323199e-14,True,276.84891161814846,276.84891161814846,0.0,0.0,True,1197.152124311565,1197.1521243115653,2.2737367544323206e-13,1.8992880756402255e-16,True,1195.37372147915,1195.37372147915,0.0,0.0,True,108.42857078716206,108.42857078716206,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,0.5332836738518835,0.5332836738518835,0.0,0.0,True,2.3060292319047258,2.3060292319047258,0.0,0.0,True,4.160726978435257,4.160726978435257,0.0,0.0,True,True
Change Price -> Remove Payment Block,True,1001.0,1001.0,0.0,0.0,True,0.0015170643214054,0.0015170643214054594,5.941427905220564e-17,3.9163981522658565e-14,True,27.59044289044289,27.59044289044289,0.0,0.0,True,491.0166500166496,491.01665001664963,5.684341886080802e-14,1.1576678481041436e-16,True,489.6623376623373,489.6623376623373,0.0,0.0,True,43.87364502164501,43.87364502164501,0.0,0.0,True,1367.135238095227,1367.135238095238,1.1141310096718371e-11,8.149384045020373e-15,True,0.0418564765208658,0.041856476520865826,2.7755575615628914e-17,6.631130454039181e-16,True,0.7449038409562905,0.7449038409562905,0.0,0.0,True,2.0740320922504263,2.0740320922504436,1.7319479184152442e-14,8.350632205194067e-15,True,True
Change Price -> Vendor creates invoice,True,2108.0,2108.0,0.0,0.0,True,0.0031947768127099,0.003194776812709998,9.80118763926896e-17,3.067878670045597e-14,True,241.51087919038585,241.51087919038585,0.0,0.0,True,1273.860056925996,1273.8600569259959,2.2737367544323206e-13,1.7849187923508396e-16,True,1273.457305502846,1273.4573055028459,2.2737367544323206e-13,1.7854833017228615e-16,True,72.31663020256588,72.31663020256588,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,0.7715733568546503,0.7715733568546503,0.0,0.0,True,4.06969857250461,4.06969857250461,0.0,0.0,True,6.900717915453596,6.900717915453596,0.0,0.0,True,True
Change Quantity -> Change Delivery Indicator,True,511.0,511.0,0.0,0.0,True,0.0007744454228153,0.0007744454228153743,7.426784881525705e-17,9.589810544076188e-14,True,55.278082191780825,55.278082191780825,0.0,0.0,True,1082.0445205479443,1082.0445205479443,0.0,0.0,True,1083.7573385518583,1083.7573385518583,0.0,0.0,True,54.79230983405729,54.79230983405729,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,0.0428098577354367,0.04280985773543671,1.3877787807814457e-17,3.2417271492885264e-16,True,0.8379844262208117,0.8379844262208117,0.0,0.0,True,1.6728021132812083,1.6728021132812085,2.220446049250313e-16,1.327381183716285e-16,True,True
Change Quantity -> Change Quantity,True,1181.0,1181.0,0.0,0.0,True,0.0017898631004793,0.0017898631004793681,6.808789643208968e-17,3.804084033793238e-14,True,136.76287044877225,136.76287044877225,0.0,0.0,True,1076.004586508608,1076.004586508608,0.0,0.0,True,1077.1955969517355,1077.1955969517355,0.0,0.0,True,57.3026113057588,57.3026113057588,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,0.2447868153318976,0.24478681533189764,2.7755575615628914e-17,1.1338672623358464e-16,True,1.9259009053383176,1.9259009053383178,2.220446049250313e-16,1.1529388885459054e-16,True,3.8661042970354353,3.8661042970354353,0.0,0.0,True,True
Change Quantity -> Record Goods Receipt,True,4299.0,4299.0,0.0,0.0,True,0.0065153441735485,0.006515344173548521,2.0816681711721685e-17,3.1950241088160567e-15,True,156.96159959680546,156.96159959680546,0.0,0.0,True,1101.2601108784984,1101.2601108784984,0.0,0.0,True,1100.845778087927,1100.845778087927,0.0,0.0,True,84.82925663306277,84.82925663306277,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,1.0226588434039023,1.0226588434039023,0.0,0.0,True,7.175088646973623,7.175088646973623,0.0,0.0,True,14.073143414864806,14.073143414864806,0.0,0.0,True,True
Change Quantity -> Vendor creates invoice,True,3150.0,3150.0,0.0,0.0,True,0.0047739786337934,0.004773978633793403,3.469446951953614e-18,7.267411980846665e-16,True,310.7654285714285,310.7654285714285,0.0,0.0,True,1741.043174603174,1741.043174603174,0.0,0.0,True,1738.4380952380943,1738.4380952380945,2.2737367544323206e-13,1.3079193102478075e-16,True,138.83326819831157,138.83326819831157,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,1.4835875161216496,1.4835875161216496,0.0,0.0,True,8.31170291606739,8.31170291606739,0.0,0.0,True,10.311793848993752,10.311793848993752,0.0,0.0,True,True
Clear Invoice -> Clear Invoice,True,954.0,954.0,0.0,0.0,True,0.0014458335290917,0.0014458335290917165,1.6479873021779667e-17,1.1398181526563875e-14,True,480.1570580013977,480.1570580013977,0.0,0.0,True,1887.1808525506635,1887.1808525506633,2.2737367544323206e-13,1.2048324628554801e-16,True,1886.8427672955968,1886.8427672955972,4.547473508864641e-13,2.410096690453182e-16,True,243.63475542664423,243.63475542664423,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,0.6942271736884568,0.6942271736884568,0.0,0.0,True,2.72854935207764,2.7285493520776396,4.440892098500626e-16,1.6275652463896727e-16,True,3.123000422838108,3.123000422838108,0.0,0.0,True,True
Clear Invoice -> Record Invoice Receipt,True,1562.0,1562.0,0.0,0.0,True,0.0023672871828524,0.002367287182852475,7.502679033599691e-17,3.169315108004571e-14,True,699.7369078104994,699.7369078104994,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,618.3516813982625,618.3516813982625,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,1.656478213228619,1.656478213228619,0.0,0.0,True,5.113340314961346,5.113340314961346,0.0,0.0,True,5.113340314961346,5.113340314961346,0.0,0.0,True,True
Clear Invoice -> Vendor creates invoice,True,518.0,518.0,0.0,0.0,True,0.0007850542642238,0.0007850542642238042,4.119968255444917e-18,5.248004428736423e-15,True,287.4441763191763,287.4441763191763,0.0,0.0,True,1741.6014157014151,1741.6014157014151,0.0,0.0,True,1738.1930501930497,1738.1930501930497,0.0,0.0,True,103.75684975297878,103.75684975297878,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,0.2256592763456683,0.22565927634566837,8.326672684688674e-17,3.689931484107815e-16,True,1.36725161797461,1.3672516179746101,2.220446049250313e-16,1.624021518833227e-16,True,1.695717210723417,1.695717210723417,0.0,0.0,True,True
Create Purchase Order Item -> Cancel Goods Receipt,True,640.0,640.0,0.0,0.0,True,0.000969951214485,0.000969951214485009,8.998878031629687e-18,9.277660460900276e-15,True,150.59250000000003,150.59250000000003,0.0,0.0,True,1346.9958333333325,1346.9958333333323,2.2737367544323206e-13,1.6880057815811026e-16,True,1346.249999999999,1346.2499999999993,2.2737367544323206e-13,1.688940950367556e-16,True,320.9791467139503,320.9791467139503,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,0.1460673782673337,0.14606737826733374,2.7755575615628914e-17,1.9001898948874424e-16,True,1.3065202444479125,1.3065202444479125,0.0,0.0,True,2.09509462328762,2.0950946232876193,8.881784197001252e-16,4.239323655493882e-16,True,True
Create Purchase Order Item -> Change Approval for Purchase Order,True,1447.0,1447.0,0.0,0.0,True,0.0021929990739996,0.0021929990739996998,9.974659986866641e-17,4.548410487321738e-14,True,28.26740382400369,28.26740382400369,0.0,0.0,True,329.72113568302217,329.72113568302217,0.0,0.0,True,329.0836212854179,329.0836212854179,0.0,0.0,True,39.71076252252803,39.71076252252803,0.0,0.0,True,1123.298871735978,1123.298871735978,0.0,0.0,True,0.0619903904104156,0.061990390410415666,6.938893903907228e-17,1.1193499279432443e-15,True,0.723078145230997,0.723078145230997,0.0,0.0,True,2.4633933855419072,2.4633933855419072,0.0,0.0,True,True
Create Purchase Order Item -> Change Price,True,3326.0,3326.0,0.0,0.0,True,0.0050407152177767,0.005040715217776781,8.153200337090993e-17,1.6174689473306752e-14,True,181.09730406895167,181.09730406895167,0.0,0.0,True,1362.543104830627,1362.543104830627,0.0,0.0,True,1361.419122068551,1361.4191220685507,2.2737367544323206e-13,1.6701225343284344e-16,True,147.64950902032788,147.64950902032788,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,0.9128599365187136,0.9128599365187137,1.1102230246251565e-16,1.2162030342344825e-16,True,6.868191763396566,6.868191763396566,0.0,0.0,True,10.887944870397847,10.887944870397847,0.0,0.0,True,True
