transition,phase3_h1_observations,bridge_rows,candidate_h1_only,bridge_percentage_of_phase3_h1_sample,bridge_elapsed_median_hours,bridge_elapsed_q75_hours,bridge_elapsed_q90_hours,bridge_elapsed_max_hours,bridge_destination_min_utc,bridge_destination_max_utc
Block Purchase Order Item -> Clear Invoice,2,1,False,0.00015155487726328264,1199.4333333333334,1199.4333333333334,1199.4333333333334,1199.4333333333334,2018-07-05 12:12:00+00:00,2018-07-05 12:12:00+00:00
Block Purchase Order Item -> Delete Purchase Order Item,30,0,False,0.0,,,,,,
Block Purchase Order Item -> Reactivate Purchase Order Item,41,9,False,0.001363993895369544,1728.5666666666666,2206.6666666666665,2513.9266666666667,3742.9666666666667,2018-07-10 14:05:00+00:00,2018-08-16 11:06:00+00:00
Block Purchase Order Item -> Vendor creates debit memo,1,1,False,0.00015155487726328264,1305.5166666666667,1305.5166666666667,1305.5166666666667,1305.5166666666667,2018-07-09 21:59:00+00:00,2018-07-09 21:59:00+00:00
Block Purchase Order Item -> Vendor creates invoice,13,1,False,0.00015155487726328264,2673.733333333333,2673.733333333333,2673.733333333333,2673.733333333333,2018-08-30 21:59:00+00:00,2018-08-30 21:59:00+00:00
Cancel Goods Receipt -> Cancel Goods Receipt,65,0,False,0.0,,,,,,
Cancel Goods Receipt -> Cancel Invoice Receipt,254,195,False,0.029553201066340115,4380.233333333334,4528.383333333333,5072.106666666667,8375.916666666666,2018-07-06 00:21:00+00:00,2019-01-08 01:28:00+00:00
Cancel Goods Receipt -> Change Approval for Purchase Order,1,0,False,0.0,,,,,,
Cancel Goods Receipt -> Change Delivery Indicator,28,3,False,0.00045466463178984795,527.0833333333334,779.7083333333333,931.2833333333333,1032.3333333333333,2018-07-02 06:28:00+00:00,2018-07-12 07:42:00+00:00
Cancel Goods Receipt -> Change Price,9,0,False,0.0,,,,,,
Cancel Goods Receipt -> Change Quantity,50,1,False,0.00015155487726328264,1964.2833333333333,1964.2833333333333,1964.2833333333333,1964.2833333333333,2018-09-19 08:23:00+00:00,2018-09-19 08:23:00+00:00
Cancel Goods Receipt -> Change Storage Location,2,0,False,0.0,,,,,,
Cancel Goods Receipt -> Clear Invoice,8,2,False,0.0003031097545265653,1333.1,1663.6666666666667,1862.0066666666667,1994.2333333333333,2018-07-12 10:55:00+00:00,2018-09-06 12:07:00+00:00
Cancel Goods Receipt -> Delete Purchase Order Item,34,1,False,0.00015155487726328264,149.73333333333332,149.73333333333332,149.73333333333332,149.73333333333332,2018-07-03 14:44:00+00:00,2018-07-03 14:44:00+00:00
Cancel Goods Receipt -> Record Goods Receipt,419,3,False,0.00045466463178984795,934.8833333333333,2735.45,3815.79,4536.016666666666,2018-07-06 07:24:00+00:00,2018-08-16 10:20:00+00:00
