transition,observations,m_cap,delta_mass_to_cap,empirical_cvar95,epsilon_primary,epsilon_sat,saturation_ratio,empirical_saturation,dro_induced_saturation,predicted_saturated,observed_saturated,total_saturated_under_primary_radius,unsaturated,observed_phase3_dro_cvar,tail_score,mean_burden_score,dro_score,phase3b_observed_saturated,phase3b_predicted_saturated,phase3b_total_saturated
Cancel Invoice Receipt -> Clear Invoice,1073,0.004659832246039142,0.0453401677539609,1497.7968313140723,212.4794630837734,33.11015843429639,6.417349633207477,False,True,True,True,True,False,2160.0,2.4357851376194057,0.3508155925719924,3.5125570793556493,True,True,True
Change Approval for Purchase Order -> Change Approval for Purchase Order,606,0.03135313531353135,0.018646864686468693,2067.0099009900987,410.08195941601207,4.649504950495069,88.19905856264278,False,True,True,True,True,False,2160.0,1.897343596629621,0.38647670778350485,1.9837927214254645,True,True,True
Change Price -> Change Quantity,596,0.003355704697986577,0.046644295302013465,1673.395973154362,277.1537126595605,24.330201342281914,11.391344804776137,False,True,True,True,True,False,2160.0,1.5171539408562142,0.3086665393605698,1.9510568679365954,True,True,True
Change Price -> Record Goods Receipt,1271,0.0023603461841070024,0.047639653815893045,1195.37372147915,108.42857078716206,48.231313926042574,2.2480948985429956,False,True,True,True,True,False,2160.0,2.3060292319047258,0.5332836738518835,4.160726978435257,True,True,True
Change Price -> Remove Payment Block,1001,0.0,0.050000000000000044,489.6623376623373,43.87364502164501,83.51688311688319,0.5253266571292317,False,False,False,False,False,True,1367.135238095238,0.7449038409562905,0.041856476520865826,2.0740320922504436,False,False,False
Change Price -> Vendor creates invoice,2108,0.0028462998102466793,0.047153700189753366,1273.4573055028459,72.31663020256588,44.327134724857764,1.6314302887258842,False,True,True,True,True,False,2160.0,4.06969857250461,0.7715733568546503,6.900717915453596,True,True,True
Change Quantity -> Change Delivery Indicator,511,0.003913894324853229,0.046086105675146816,1083.7573385518583,54.79230983405729,53.812133072407136,1.0182147910831052,False,True,True,True,True,False,2160.0,0.8379844262208117,0.04280985773543671,1.6728021132812085,True,False,False
Change Quantity -> Change Quantity,1181,0.001693480101608806,0.048306519898391236,1077.1955969517355,57.3026113057588,54.140220152413264,1.0584111247505628,False,True,True,True,True,False,2160.0,1.9259009053383178,0.24478681533189764,3.8661042970354353,True,False,False
Change Quantity -> Record Goods Receipt,4299,0.0013956734124214933,0.04860432658757855,1100.845778087927,84.82925663306277,52.95771109560362,1.6018301183735455,False,True,True,True,True,False,2160.0,7.175088646973623,1.0226588434039023,14.073143414864806,True,True,True
Change Quantity -> Vendor creates invoice,3150,0.01873015873015873,0.031269841269841316,1738.4380952380945,138.83326819831157,21.078095238095298,6.586613573478526,False,True,True,True,True,False,2160.0,8.31170291606739,1.4835875161216496,10.311793848993752,True,True,True
Clear Invoice -> Clear Invoice,954,0.019916142557651992,0.030083857442348053,1886.8427672955972,243.63475542664423,13.65786163522015,17.838426097272226,False,True,True,True,True,False,2160.0,2.7285493520776396,0.6942271736884568,3.123000422838108,True,True,True
Clear Invoice -> Record Invoice Receipt,1562,0.2592829705505762,0.0,2160.0,618.3516813982625,0.0,,True,False,True,True,True,False,2160.0,5.113340314961346,1.656478213228619,5.113340314961346,True,True,True
Clear Invoice -> Vendor creates invoice,518,0.017374517374517374,0.03262548262548267,1738.1930501930497,103.75684975297878,21.090347490347543,4.919636805437434,False,True,True,True,True,False,2160.0,1.3672516179746101,0.22565927634566837,1.695717210723417,True,True,True
Create Purchase Order Item -> Cancel Goods Receipt,640,0.025,0.025000000000000043,1346.2499999999993,320.9791467139503,40.68750000000007,7.888888398499533,False,True,True,True,True,False,2160.0,1.3065202444479125,0.14606737826733374,2.0950946232876193,True,True,True
