transition,phase3b_observations,phase3c_observations,observations_difference,phase3b_m_cap,phase3c_m_cap,m_cap_difference,phase3b_epsilon_sat,phase3c_epsilon_sat,epsilon_sat_difference,phase3b_saturation_ratio,phase3c_saturation_ratio,saturation_ratio_difference,phase3b_empirical_saturation,phase3c_empirical_saturation,phase3b_predicted_saturated,phase3c_predicted_saturated,phase3b_observed_saturated,phase3c_observed_saturated,phase3b_total_saturated,phase3c_total_saturated,classification_changed
Cancel Invoice Receipt -> Clear Invoice,1022,1073,51,0.0,0.004659832246039142,0.004659832246039142,42.80547945205485,33.11015843429639,-9.69532101775846,4.963837943265309,6.417349633207477,1.453511689942168,False,False,True,True,True,True,True,True,False
Change Approval for Purchase Order -> Change Approval for Purchase Order,515,606,91,0.0135922330097087,0.03135313531353135,0.01776090230382265,12.279611650485457,4.649504950495069,-7.630106699990388,33.3953524824867,88.19905856264278,54.803706080156076,False,False,True,True,True,True,True,True,False
Change Price -> Change Quantity,548,596,48,0.0036496350364963,0.003355704697986577,-0.00029393033850972283,24.15766423357667,24.330201342281914,0.1725371087052423,11.47270323735791,11.391344804776137,-0.08135843258177289,False,False,True,True,True,True,True,True,False
Change Price -> Record Goods Receipt,1195,1271,76,0.001673640167364,0.0023603461841070024,0.0006867060167430024,55.82761506276158,48.231313926042574,-7.596301136719006,1.9422031671112283,2.2480948985429956,0.3058917314317673,False,False,True,True,True,True,True,True,False
Change Price -> Remove Payment Block,994,1001,7,0.0,0.0,0.0,87.29818913480898,83.51688311688319,-3.781306017925786,0.5025722235073372,0.5253266571292317,0.022754433621894443,False,False,False,False,False,False,False,False,False
Change Price -> Vendor creates invoice,2030,2108,78,0.0004926108374384,0.0028462998102466793,0.0023536889728082793,49.04630541871928,44.327134724857764,-4.719170693861514,1.4744562222410562,1.6314302887258842,0.15697406648482803,False,False,True,True,True,True,True,True,False
Change Quantity -> Change Delivery Indicator,506,511,5,0.0,0.003913894324853229,0.003913894324853229,66.72094861660088,53.812133072407136,-12.908815544193743,0.8212159894325062,1.0182147910831052,0.19699880165059902,False,False,False,True,True,True,False,True,True
Change Quantity -> Change Quantity,1147,1181,34,0.001743679163034,0.001693480101608806,-5.0199061425194045e-05,60.94681778552756,54.140220152413264,-6.8065976331142934,0.9402067800718856,1.0584111247505628,0.11820434467867713,False,False,False,True,True,True,False,True,True
Change Quantity -> Record Goods Receipt,4162,4299,137,0.0004805382027871,0.0013956734124214933,0.0009151352096343933,59.29187890437295,52.95771109560362,-6.33416780876933,1.430706164159125,1.6018301183735455,0.1711239542144205,False,False,True,True,True,True,True,True,False
Change Quantity -> Vendor creates invoice,2926,3150,224,0.0051264524948735,0.01873015873015873,0.013603706235285229,38.2088858509912,21.078095238095298,-17.130790612895904,3.6335335382387246,6.586613573478526,2.9530800352398012,False,False,True,True,True,True,True,True,False
Clear Invoice -> Clear Invoice,766,954,188,0.0013054830287206,0.019916142557651992,0.018610659528931393,45.69712793733689,13.65786163522015,-32.03926630211674,5.331511331756633,17.838426097272226,12.506914765515592,False,False,True,True,True,True,True,True,False
Clear Invoice -> Record Invoice Receipt,1061,1562,501,0.0,0.2592829705505762,0.2592829705505762,52.36908576814334,0.0,-52.36908576814334,11.807570675110243,,,False,True,True,True,True,True,True,True,False
Clear Invoice -> Vendor creates invoice,467,518,51,0.0,0.017374517374517374,0.017374517374517374,56.73918629550327,21.090347490347543,-35.648838805155734,1.828662984565956,4.919636805437434,3.0909738208714774,False,False,True,True,True,True,True,True,False
Create Purchase Order Item -> Cancel Goods Receipt,622,640,18,0.0,0.025,0.025,82.82700964630233,40.68750000000007,-42.13950964630226,3.875295608094912,7.888888398499533,4.013592790404621,False,False,True,True,True,True,True,True,False
Create Purchase Order Item -> Change Approval for Purchase Order,1443,1447,4,0.0,0.0,0.0,91.80956340956352,91.54581893572919,-0.2637444738343362,0.4325340525297769,0.4337801877156993,0.0012461351859224257,False,False,False,False,False,False,False,False,False
Create Purchase Order Item -> Change Price,3219,3326,107,0.0,0.005111244738424534,0.005111244738424534,51.26598322460397,39.92904389657254,-11.336939328031434,2.88006782925538,3.6977972576248423,0.8177294283694625,False,False,True,True,True,True,True,True,False
Create Purchase Order Item -> Change Quantity,5613,6068,455,0.0016034206306787,0.008404746209624258,0.006801325578945559,36.84404061998938,24.552933421226133,-12.291107198763246,2.343749322696321,3.5170215210962565,1.1732721983999355,False,False,True,True,True,True,True,True,False
Create Purchase Order Item -> Delete Purchase Order Item,3729,3916,187,0.0032180209171359,0.018130745658835545,0.014912724741699645,55.386001609010506,26.810623084780424,-28.575378524230082,1.6432618426665575,3.3946880971080917,1.7514262544415342,False,False,True,True,True,True,True,True,False
Create Purchase Order Item -> Receive Order Confirmation,14511,14575,64,0.0,0.0,0.0,98.04821170146796,97.15142367066909,-0.8967880307988736,0.1136136428216915,0.11466239075731975,0.001048747935628258,False,False,False,False,False,False,False,False,False
Create Purchase Order Item -> Record Goods Receipt,37326,40773,3447,0.0012055939559556,0.003973217570451034,0.002767623614495434,44.49850506349465,36.695401368552766,-7.803103694941882,0.8019983940443086,0.9725395626515458,0.17054116860723723,False,False,False,False,False,False,False,False,False
Create Purchase Order Item -> Record Invoice Receipt,513,532,19,0.0,0.0018796992481203006,0.0018796992481203006,72.16374269005856,49.75037593984969,-22.413366750208866,2.617616077304143,3.796895390143806,1.1792793128396628,False,False,True,True,True,True,True,True,False
Create Purchase Order Item -> Record Service Entry Sheet,1055,1055,0,0.0018957345971563,0.0018957345971563982,9.82287168271867e-17,95.87488151658772,95.87488151658773,1.4210854715202004e-14,0.1596915970064497,0.1596915970064497,0.0,False,False,False,False,False,False,False,False,False
Create Purchase Order Item -> Vendor creates debit memo,755,780,25,0.0026490066225165,0.002564102564102564,-8.490405841393581e-05,45.09933774834441,43.38461538461542,-1.7147223637289883,2.856631775857523,2.96953655437352,0.11290477851599734,False,False,True,True,True,True,True,True,False
Create Purchase Order Item -> Vendor creates invoice,56331,59977,3646,0.0036569562052866,0.012471447388165463,0.008814491182878864,41.41494381424089,27.703579705553857,-13.711364108687036,1.3676866636790694,2.0445973745551673,0.6769107108760979,False,False,True,True,True,True,True,True,False
Create Purchase Requisition Item -> Create Purchase Order Item,1090,1095,5,0.0009174311926605,0.0045662100456621,0.0036487788530016,90.06605504587165,82.5041095890412,-7.561945456830443,0.5774675913147946,0.6303956024206773,0.05292801110588263,False,False,False,False,False,False,False,False,False
Receive Order Confirmation -> Delete Purchase Order Item,552,580,28,0.0018115942028985,0.0034482758620689655,0.0016366816591704655,55.086956521739175,37.82068965517245,-17.266266866566724,3.3962969128338423,4.946807212612733,1.550510299778891,False,False,True,True,True,True,True,True,False
Receive Order Confirmation -> Record Goods Receipt,9034,9488,454,0.0001106929377905,0.0006323777403035413,0.0005216848025130413,72.81053796767776,66.91062394603712,-5.89991402164064,0.5433231120502148,0.5912311938766784,0.047908081826463667,False,False,False,False,False,False,False,False,False
Receive Order Confirmation -> Vendor creates invoice,4382,4539,157,0.0,0.0,0.0,74.77133728890928,72.33046926635836,-2.440868022550916,0.6983872729903091,0.7219550885912435,0.02356781560093435,False,False,False,False,False,False,False,False,False
Record Goods Receipt -> Cancel Goods Receipt,524,532,8,0.0038167938931297,0.005639097744360902,0.0018223038512312018,66.9068702290077,53.33233082706775,-13.574539401939944,0.9254748956740082,1.161033612910065,0.2355587172360567,False,False,False,True,True,True,False,True,True
Record Goods Receipt -> Change Quantity,693,715,22,0.0,0.006993006993006993,0.006993006993006993,74.45194805194816,56.78601398601404,-17.665934065934124,0.677264156281084,0.8879587109830377,0.21069455470195364,False,False,False,False,False,False,False,False,False
Record Goods Receipt -> Record Goods Receipt,25747,25791,44,0.0,0.0,0.0,102.35025439857084,101.80341979760395,-0.5468346009668892,0.0383486066255704,0.0385545952362028,0.00020598861063239604,False,False,False,False,False,False,False,False,False
Record Goods Receipt -> Record Invoice Receipt,47771,57690,9919,0.0063636934541876,0.05222742243023054,0.04586372897604294,34.1163634841222,0.0,-34.1163634841222,4.513793554980394,,,False,True,True,True,True,True,True,True,False
Record Goods Receipt -> Record Service Entry Sheet,10435,10439,4,0.0,0.0,0.0,107.20881648299004,107.0918670370726,-0.11694944591744161,0.0058016315099887,0.005807967169355661,6.335659366960879e-06,False,False,False,False,False,False,False,False,False
Record Goods Receipt -> Remove Payment Block,9500,9585,85,0.0010526315789473,0.004694835680751174,0.003642204101803874,72.31326315789472,62.38560250391247,-9.927660653982251,0.5188334832014075,0.6013974490912,0.08256396588979242,False,False,False,False,False,False,False,False,False
